Date,Tweet
﻿Tue Jun 12 21:32:49 +0000 2018,MT Trade Setup For Experienced Investors Right Here...  
Tue Jun 12 19:34:15 +0000 2018,lmart Inc. (WMT)- Stocks Carrying Extraordinary Performance Assessment  $WMT #stocks #stockmarket'
Tue Jun 12 17:49:26 +0000 2018,lmart $WMT Trade Setup For Experienced Investors..  
Tue Jun 12 16:52:05 +0000 2018,ntrasting Walmart $WMT and Dollar General $DG 
Tue Jun 12 16:24:20 +0000 2018,MT CEO is enjoying new wine \\\\ud83c\\\\udf77 at walmart while stock is bleeding consistently??'
Tue Jun 12 14:49:28 +0000 2018,like where the Walmart chart is right now. Consolidation in a bull market means a price spike soon. Good news or better than expected earnings - I\\\\u2019m guessing both. $WMT'
Tue Jun 12 14:13:50 +0000 2018,nda funny ain\\'t it #Lord\\\\n$TWTR is now closer to $50\\\\nwhile $WMT falling like a lead balloon in a hail storm\\\\nBut hey..!!\\\\n makes\\\\nunlike  just moves $s\\\\nWhile #tweets move minds into thinking maybe there is a #GreatSpirit in the sky watching over our 
Tue Jun 12 14:05:07 +0000 2018,MT seems like walmart princes are not done with selling..'
Tue Jun 12 13:40:07 +0000 2018,"  Why Kroger isn\\'t worried about  \\\\"""
Tue Jun 12 13:22:25 +0000 2018,"y Kroger isn\\'t worried about  \\\\"""
Tue Jun 12 10:19:42 +0000 2018,"lmart Inc $WMT Director S Robson Walton Sells 666,445 Shares of Stock "
Tue Jun 12 08:23:22 +0000 2018,"ice L. Walton Sells 1,499,270 Shares of Walmart Inc $WMT Stock "
Tue Jun 12 08:22:29 +0000 2018,"sider Selling: Walmart Inc $WMT Director Sells 666,445 Shares of Stock "
Tue Jun 12 08:21:31 +0000 2018,"lmart Inc $WMT Major Shareholder Alice L. Walton Sells 1,499,270 Shares of Stock "
Tue Jun 12 07:01:31 +0000 2018,"lmart Director S Robson Walton Sells $56,274,615.80 in $WMT "
Tue Jun 12 06:24:41 +0000 2018,ad to Head Review: Costco Wholesale $COST & Walmart $WMT 
Tue Jun 12 05:38:15 +0000 2018,vestors Buy Shares of Walmart $WMT on Weakness on Insider Selling 
Tue Jun 12 05:35:48 +0000 2018,vestors Buy Walmart $WMT on Weakness After Insider Selling 
Tue Jun 12 00:58:36 +0000 2018,cks: Brokerages Expect Walmart Inc $WMT Will Post Earnings of $1.22 Per Share 
Tue Jun 12 00:11:48 +0000 2018,lmart Inc $WMT Expected to Post Quarterly Sales of $125.53 Billion 
Tue Jun 12 00:11:47 +0000 2018,.22 EPS Expected for Walmart Inc $WMT This Quarter 
Tue Jun 12 17:57:53 +0000 2018,":42 ET Volume Leader #36 - CSCO 8,359,091 Cisco Systems Inc $CSCO 43.81 +0.12 +0.27% High today of 43.83 day "
Tue Jun 12 16:03:43 +0000 2018,sco Systems $CSCO Receives \\\\u201cBuy\\\\u201d Rating from JPMorgan Chase & Co. 
Tue Jun 12 15:30:11 +0000 2018,Morgan Chase & Co. Reiterates \\\\u201cBuy\\\\u201d Rating for Cisco Systems $CSCO  #stocks'
Tue Jun 12 15:12:07 +0000 2018,sco Systems $CSCO Rating Reiterated by JPMorgan Chase & Co. 
Tue Jun 12 15:00:57 +0000 2018,SCO  Pot. intermed top in Uptrend INTRAWEEK 60m-15m-4m combo chart #Cisco #Trading 
Tue Jun 12 12:15:24 +0000 2018,  Cisco Releases New Developer Capabilities Across Its Intent-Based Networking Platform $CSCO 
Tue Jun 12 12:03:29 +0000 2018,sco Releases New Developer Capabilities Across Its Intent-Based Networking Platform $CSCO 
Tue Jun 12 12:02:27 +0000 2018,SCO Cisco - Cisco Releases New Developer Capabilities Across Its Intent-Based Networking Platform\\\\nFrom our Stock News Alerts App'
Tue Jun 12 09:39:56 +0000 2018,"mmonwealth Of Pennsylvania Public School Empls Retrmt Sys Has Raised Holding in Old Dominion Fght Lines $ODFL by $1.23 Million as Stock Rose; Cisco Sys Com $CSCO Stock Value Declined While Silvercrest Asset Management Group Has Trimmed by $378,378 Its Holding ...'"
Tue Jun 12 09:32:15 +0000 2018,"sco Systems, Inc. (NASDAQ:CSCO) Shares Bought by Commonwealth of ...  $CSCO #stocks #stockmarket'"
