Date,Tweet
Date,eet',Country
Sat May 04 23:59:59 +0000 2019,2nd Grade Boys - Pool A - GCE 2029 def. Flowery Branch 31-16 #whogotnext ,"Georgia, USA"
Sat May 04 23:59:59 +0000 2019," We don\ care about that.  Stop trying to make a non issue an issue.'""","Oakland, CA"
Sat May 04 23:59:59 +0000 2019,Saturday and Sundays are the only days I think about my love life or lack thereof \,"Hempstead, NY"
Sat May 04 23:59:59 +0000 2019," I am.. That\ why I found it to be true'""","Georgia, USA"
Sat May 04 23:59:59 +0000 2019, Pain is on their near future ,"Casselberry, FL"
Sat May 04 23:59:59 +0000 2019, I watched Maximum Security win that race by a length and a half yet he didn\ win? What? Glad I\ no\ ,"Allentown, PA"
Sat May 04 23:59:59 +0000 2019,"I will talk about you on Friday'""","St Louis, MO"
Sat May 04 23:59:59 +0000 2019,Respect this right here! ,"Phoenix, AZ"
Sat May 04 23:59:59 +0000 2019,Peter Reaches Christ on the Shore\\nLluis Borrassa\\nc. 1411\\nTerrasa Sant Pere\\nCatalonia ,"Brownsville, TX"
Sat May 04 23:59:59 +0000 2019," Or sell it for 10x what you put into it.'""","New York, USA"
Sat May 04 23:59:59 +0000 2019," Also canelo with the W'""","Pennsylvania, USA"
Sat May 04 23:59:58 +0000 2019,"Gotta want it'""","Manteca, CA"
Sat May 04 23:59:58 +0000 2019,   pulls it off \,"Edgerton, MI"
Sat May 04 23:59:58 +0000 2019," Oh my, yes!!'""","North Burnet, Austin"
Sat May 04 23:59:58 +0000 2019,"How tf'""","Garfield, MI"
Sat May 04 23:59:58 +0000 2019," Love this picture!'""","Ashburn, VA"
Sat May 04 23:59:58 +0000 2019,I think she\ got the hang of it  \ ,"Indianapolis, IN"
Sat May 04 23:59:58 +0000 2019," \ okay sorry'""","Marrero, LA"
Sat May 04 23:59:58 +0000 2019,"Need helping deciding.  \\n\\nI may go see neither, but which of the two should I go see if these are my two finalists?'""","New Orleans, LA"
Sat May 04 23:59:58 +0000 2019,"V12, see ya, 12 (bye)\\nI do the whole dash with no seatbelt'""","Georgia, USA"
Sat May 04 23:59:58 +0000 2019,Nadler should never be in the position he is in. He doesn\ have a clue. ,"Mishawaka, IN"
Sat May 04 23:59:58 +0000 2019,"A bit late, but it\'s still May 4th in California, so HAPPY BIRTHDAY  \ a throwback to Mike sig\ ","Albany, CA"
Sat May 04 23:59:58 +0000 2019,"DCC still leads 1-0 after 3.'""","DuBois, PA"
Sat May 04 23:59:58 +0000 2019,,"Memphis, TN"
Sat May 04 23:59:57 +0000 2019,"SMFH. #KentuckyDerby2019'""","Indianapolis, IN"
Sat May 04 23:59:57 +0000 2019,"   Yes nobody cares about this BS'""","Largo, FL"
Sat May 04 23:59:57 +0000 2019,Hungry\\nAnxious\\nTired\\nHorny\\nLonely\\nCold\\nBored ,"Los Angeles, CA"
Sat May 04 23:59:57 +0000 2019,Ok crew! #writingcommmunity reviewers! What are you reading today and tag a name and an update. I\ start! The Kee\ ,"Maine, USA"
Sat May 04 23:59:57 +0000 2019,"War of Will made the challenge or Country House?!? #KentuckyDerby'""","Austin, TX"
Sat May 04 23:59:57 +0000 2019,"  Hey  do you know? I assume  is in Oregon.'""","Seattle, WA"
Sat May 04 23:59:57 +0000 2019, \ ,"Columbus, OH"
Sat May 04 23:59:57 +0000 2019," Thank you so much'""","Harrisonburg, VA"
Sat May 04 23:59:57 +0000 2019,FINALLY getting to see Avengers! \ @ THE LOT ,"San Diego, CA"
Sat May 04 23:59:57 +0000 2019, I can\ keep up with all your account \,"Broadview Heights, OH"
Sat May 04 23:59:56 +0000 2019,"Waiting for the claims that Country House colluded with Russia. #KentuckyDerby'""","Pleasure Ridge Park, KY"
Sat May 04 23:59:56 +0000 2019,ALL FACTS. ,"Los Angeles, CA"
Sat May 04 23:59:56 +0000 2019,St. Andrew\'s confiscated my  but let me keep my other fountain pen.\\n\\nUnclear if the takeaway is that their sec\ ,"Detroit, MI"
Sat May 04 23:59:56 +0000 2019," YES'""","San Diego, CA"
Sat May 04 23:59:56 +0000 2019,"'Is it acceptable to add ""Administered First Aid to Boa Constrictor"" to a CV? Asking for a friend. \\n\\n#BePrepared\ ",Southhaven County Park
Sat May 04 23:59:56 +0000 2019,Makeup! ,"Euclid, OH"
Sat May 04 23:59:56 +0000 2019,"5th Grade Boys - Pool B -  def. Sports Academy Team Garrett Temple, LA 43-34 #whogotnext ","Georgia, USA"
Sat May 04 23:59:56 +0000 2019,PJ LOOKIN LIKE TRISTAN THOMPSON ,"Washington, DC"
Sat May 04 23:59:56 +0000 2019,"Nice day to bbq @ Pico Rivera, California ","Pico Rivera, CA"
Sat May 04 23:59:56 +0000 2019,"Since our fridge got fixed, I forgot what ice cold milk tasted like'""","Summerside, OH"
Sat May 04 23:59:56 +0000 2019,I feel like I can\ relax comfortably because I\ just touch everything with my tattoo \,"Arizona, USA"
Sat May 04 23:59:56 +0000 2019,Good point ,"Reidsville, NC"
Sat May 04 23:59:55 +0000 2019,That\ a rather unfortunate spot for a stain on Roark\ pants #poopedem \,"Wilder, KY"
Sat May 04 23:59:55 +0000 2019,"Dwight Smith Jr. \ right now'""","Baltimore, MD"
Sat May 04 23:59:55 +0000 2019,"I\ declaring 7/08 as south suburb day'""","Grambling, LA"
Sat May 04 23:59:55 +0000 2019,"   Maximum Security dq\ for much less'""","Atlanta, GA"
Sat May 04 23:59:55 +0000 2019, \,"Penfield, NY"
Sat May 04 23:59:55 +0000 2019,"if you believe all men are the same, seek help'""","Florida, USA"
Sat May 04 23:59:55 +0000 2019,Search and destroy \ ,"Manhattan, NY"
