Date,Tweet,Country
Mon May 06 23:59:59 +0000 2019," Wait until VC firms put laughter on the blockchain'""","San Francisco, CA"
Mon May 06 23:59:56 +0000 2019,Took Bart for the first time in forever trying to be frugile... missed my stop.. got off in a scary neighborhood and ubered anyway \,"San Francisco, CA"
Mon May 06 23:59:56 +0000 2019,"  This is a shoutout for her. She\ not a bot! And who is attacking people like that anyway. Grow the bloody hell up people!'""","Stockton, CA"
Mon May 06 23:59:56 +0000 2019," De nada Norma ,!!'""","Rialto, CA"
Mon May 06 23:59:54 +0000 2019," I\ actually been dying to go here!'""","Los Angeles, CA"
Mon May 06 23:59:54 +0000 2019," This is the third yellowish answer I\'ve gotten! I\'ve got a yellow aura \ apricot""'","San Diego, CA"
Mon May 06 23:59:54 +0000 2019,"  \ I\'m crying""'","Inglewood, CA"
Mon May 06 23:59:53 +0000 2019," The Real Degeneres Queen.'""","Los Angeles, CA"
Mon May 06 23:59:53 +0000 2019,Trump\ still playing dictator - now we\ see if Congress and the courts kneecap him. If not then he\ a dictator. ,"Los Angeles, CA"
Mon May 06 23:59:53 +0000 2019," so cuteee'""","Pomona, CA"
Mon May 06 23:59:53 +0000 2019,Nothing will ever beat last years Met Gala theme \,"California, MD"
Mon May 06 23:59:53 +0000 2019," V\ criar o novo eixo do mal.'""","Sacramento, CA"
Mon May 06 23:59:52 +0000 2019, \,"Fontana, CA"
Mon May 06 23:59:52 +0000 2019," Next Wednesday papa link up'""","San Diego, CA"
Mon May 06 23:59:52 +0000 2019,Overkill...\\n\\n#PokemonTCG #PokemonTCGOnline #PTCGO #PlayPokemon #PokemonCards #GrossMeta ,"Irvine, CA"
Mon May 06 23:59:51 +0000 2019,"En nuestro recorrido por el hermoso municipio de La Palma, Chalatenango, conocimos a Estela del Carmen L\ due\ ","Los Angeles, CA"
Mon May 06 23:59:50 +0000 2019,"I need a sugar momma Fr.'""","Joshua Tree, CA"
Mon May 06 23:59:50 +0000 2019,"  Domination.'""","Los Angeles, CA"
Mon May 06 23:59:49 +0000 2019,ThE tEeN vOgUe PaRtYy ,"Los Angeles, CA"
Mon May 06 23:59:49 +0000 2019,"See our latest #WalnutCreek, CA job and click to apply: Performance Coach-San Francisco Bay Area Market -  #HR'""","Walnut Creek, CA"
Mon May 06 23:59:48 +0000 2019," Nah. Not yet. Gonna cherish every stressful moment with him on the roster though.'""","San Jose, CA"
Mon May 06 23:59:46 +0000 2019,"Gamble up a shit load of money.'""","Rialto, CA"
Mon May 06 23:59:46 +0000 2019," What did you get?'""","California, USA"
Mon May 06 23:59:45 +0000 2019,"Fml'""","Chico, CA"
Mon May 06 23:59:44 +0000 2019,when will timothee chalamet attend the met gala ,"Los Angeles, CA"
Mon May 06 23:59:44 +0000 2019,Me arriving to the #MetGala ,"West Hollywood, CA"
Mon May 06 23:59:44 +0000 2019,Forgot to post this pic of me and  at WonderCon! What a nice birb ,"Newport Beach, CA"
Mon May 06 23:59:44 +0000 2019,Both women and men need to take notes  #MetGala ,"Los Angeles, CA"
Mon May 06 23:59:43 +0000 2019," Be better, looks like you have a great love,spreading that love to you!!'""","California, USA"
Mon May 06 23:59:43 +0000 2019,Barbie Queen looks Pretty in Pink!!!!! ,"Commerce, CA"
Mon May 06 23:59:43 +0000 2019,im soo sorry u will not come through\\nto the met gala doing \\nfringe fest diy loft myspace party in dumbo looks\\nthis\ ,"Los Angeles, CA"
Mon May 06 23:59:42 +0000 2019," We will rise again'""","Baldwin Park, CA"
Mon May 06 23:59:42 +0000 2019," who gon yike you out tho'""","Los Angeles, CA"
Mon May 06 23:59:42 +0000 2019,"Oh, Lupita... no!!!!'""","West Hollywood, CA"
Mon May 06 23:59:41 +0000 2019,Can the Met Gala even be camp? Can it NOT be camp?? ,"Los Angeles, CA"
Mon May 06 23:59:38 +0000 2019," I survived a game a few years ago. I\ also be there tonight! We\ be fine :)'""","Tustin, CA"
Mon May 06 23:59:36 +0000 2019," Muchas gracias Murrietita y deseo que tu tambi\ cu\ saludos y feliz tarde ,!!!'""","Rialto, CA"
Mon May 06 23:59:33 +0000 2019," Thanks... and no thanks.'""","California, USA"
Mon May 06 23:59:33 +0000 2019," He do but Ironman go crazy'""","Riverside, CA"
Mon May 06 23:59:33 +0000 2019,"I wanna go to Vegas.'""","Rialto, CA"
Mon May 06 23:59:33 +0000 2019,"Trump supporters: Peace with North Korea!\\n\\nAlso Trump supporters: Nuke Iran! #MAGA #KAG'""","Dana Point, CA"
Mon May 06 23:59:32 +0000 2019," Nah he crying'""","Bakersfield, CA"
Mon May 06 23:59:31 +0000 2019,#May6newhires \\n\\n#Lovewhereyouwork ,"San Francisco, CA"
Mon May 06 23:59:31 +0000 2019,"  Well, I appreciate that. But I would say give Jason a chance. I find him to be pretty\ ","Los Angeles, CA"
Mon May 06 23:59:30 +0000 2019,"  I will admit, my old ringtones were \","Santa Monica, CA"
Mon May 06 23:59:30 +0000 2019,So is otira an alter ego  ?\,"Ontario, CA"
