Date,Tweet,Country
Wed May 15 13:46:20 +0000 2019,omg i was THIS bitch ,"Richmond West, FL"
Wed May 15 13:46:17 +0000 2019, Circa 1928 ,"Sarasota, FL"
Wed May 15 13:46:16 +0000 2019,"  Actually a great pedagogical moment, in which the teacher reveals the word that s\ ","Florida, USA"
Wed May 15 13:46:15 +0000 2019,bishhh you\ not 21 ,"Daytona Beach, FL"
Wed May 15 13:46:12 +0000 2019," YIKES. That is...uncanny.'""","Sarasota, FL"
Wed May 15 13:46:12 +0000 2019,glad I didnt make your feed today ,"Boca Raton, FL"
Wed May 15 13:46:10 +0000 2019,"You can\ do what I do that\ part of the problem!!!'""","St Petersburg, FL"
Wed May 15 13:46:06 +0000 2019,"' ""It became clear it was not an assault.""\\nThis raises more questions than it answers.\''","Florida, USA"
Wed May 15 13:46:04 +0000 2019,It\ about time ,"Tallahassee, FL"
Wed May 15 13:46:04 +0000 2019,"Yes, thank you\\nSomeone needs to put the breaks on DT. Impeachment will slow him down. ","Key Largo, FL"
Wed May 15 13:46:03 +0000 2019,How you deserve something you can\'t afford yourself \,"Florida, USA"
Wed May 15 13:46:03 +0000 2019,"   6-8 eggs?! Gross'""","Florida, USA"
Wed May 15 13:45:59 +0000 2019,New Love \ Hack! Said by our good friend jimcarrey__ \\n\\nHappy \ hump day! @ Merging Spirit-Inner Sanctuary Training\ ,"Homestead, FL"
Wed May 15 13:45:59 +0000 2019,"going from living in a bathing suit and shorts at the beach to sit inside a crusty ass office in jeans literally slices my entire soul.'""","Tampa, FL"
Wed May 15 13:45:56 +0000 2019,"#bridge #construction #homosassa #florida @ Homosassa, Florida ","Florida, USA"
Wed May 15 13:45:56 +0000 2019,This really was HS bruh\ ,"Coral Springs, FL"
Wed May 15 13:45:54 +0000 2019,"  Don\'t hold your breath.""'","Florida, USA"
Wed May 15 13:45:50 +0000 2019,    this is beyond posturing! & while you all are just spit fal\ ,"Fisher Island, FL"
Wed May 15 13:45:48 +0000 2019,"My eyes have been going through it lately, maybe I should go to the doctor \","Riverview, FL"
Wed May 15 13:45:47 +0000 2019,if I was #LakeShow I would trade Lebron and that #4 for Zion. If Lebron wants to play with AD he can do it in New O\ ,"Orlando, FL"
Wed May 15 13:45:46 +0000 2019,"  Remind everyone that he is an atheist, not because that\'s bad, but it will offend a\ ","Miami, FL"
Wed May 15 13:45:44 +0000 2019, my book was about a girl who was forced by her not so present dad to go to israel to learn more about herse\ ,"Florida, USA"
Wed May 15 13:45:44 +0000 2019,Bruh I swear red the funniest nigga on Twitter from da muck \,"South Bay, FL"
Wed May 15 13:45:44 +0000 2019,"  Signed'""","Hallandale Beach, FL"
Wed May 15 13:45:44 +0000 2019,     Amazing!!!  CONGRATULATIONS!  Hmmm maybe it\'s abo\ ,"Tallahassee, FL"
Wed May 15 13:45:43 +0000 2019,my first thought after reading was: how many people were in the class action? Did it meet all rule 23 standards? La\ ,"Hollywood, FL"
Wed May 15 13:45:43 +0000 2019,"K and Devale\ podcast is so cute \ makes me miss my man even more.'""","Tallahassee, FL"
Wed May 15 13:45:42 +0000 2019,,"Boca Raton, FL"
Wed May 15 13:45:39 +0000 2019,"I deserve better'""","Kissimmee, FL"
Wed May 15 13:45:39 +0000 2019," Oh man, Jake JOSEPH Arrieta\\nYou\ going against a Jojo'""","University, FL"
Wed May 15 13:45:38 +0000 2019,Is he watching a playground?  Can\ be too sure Joe\ I have grandsons. ,"Plant City, FL"
Wed May 15 13:45:37 +0000 2019,"Give me your wife\ number, now.'""","Florida, USA"
Wed May 15 13:45:37 +0000 2019,Today\'s Lunch Menu at One Clearlake Building West Palm Beach 11am-2pm #eatrollingchefs @ One Clearlake ,"West Palm Beach, FL"
Wed May 15 13:45:36 +0000 2019," You\ do great. Just be you.'""","Tampa, FL"
Wed May 15 13:45:32 +0000 2019,A man\ greatest battles are the one\ he fights within himself. - African Proverb \ Look within yourself and be\ ,"Boca Raton, FL"
Wed May 15 13:45:32 +0000 2019,Did someone said White Sangria? Come have some I\ join you. @ Kiki On The River ,"Miami, FL"
Wed May 15 13:45:32 +0000 2019,"  legislature MY MOTHER WAS BORN IN DOTHAN,BUT THIS CHRISTIAN FLORIDIAN WILL NEVER AGAIN TRAVEL2\ ","Kendall, FL"
Wed May 15 13:45:30 +0000 2019,,"Rockledge, FL"
Wed May 15 13:45:30 +0000 2019,"   Se hace lo que se puede con el Sr. Salero!'""","Pembroke Pines, FL"
Wed May 15 13:45:28 +0000 2019," MacGyver isn\'t the only show being held til midseason ya know.""'","Riverview, FL"
Wed May 15 13:45:28 +0000 2019,Here\'s one for you Republican Talibans the 5 best States for health care\\nHawaii\\nWashington\\nMassachusetts\\nConnecticu\ ,"Florida, USA"
Wed May 15 13:45:28 +0000 2019,  Reading this in my \ voice.\ \,"Port Charlotte, FL"
Wed May 15 13:45:24 +0000 2019,Entre otras noticias : Porfin me van hacer el famoso dispute training \,"Miami Lakes, FL"
Wed May 15 13:45:21 +0000 2019,Conversation with myself:\\n\\nMe: Self\\nSelf: Yes\\nMe: \ Refuse To Sink\ Duly Noted\\n\\n#WednesdayWisdom\ ,"Pompano Beach, FL"
Wed May 15 13:45:20 +0000 2019," No I NEEDED Arya to kill her'""","Lehigh Acres, FL"
Wed May 15 13:45:19 +0000 2019,"What\ up with all these ramen fix solution videos'""","South Miami, FL"
Wed May 15 13:45:18 +0000 2019," learning from Ghandi, revolution without violence'""","Florida, USA"
Wed May 15 13:45:17 +0000 2019,I\ getting shirts made of my ass \ #assworship ,"Florida, USA"
Wed May 15 13:45:13 +0000 2019,I just ran over a squirrel \,"Tallahassee, FL"
Wed May 15 13:45:12 +0000 2019, My daughter was yelled at and  prayed to cast out her demons by her Lyft driver for saying she did\ ,"Neptune Beach, FL"
Wed May 15 13:45:11 +0000 2019, \,"South Bay, FL"
Wed May 15 13:45:10 +0000 2019,Not all Sams are created equal\\n\\n Keep Movin\' On by Sam Cooke\\n,"Orlando, FL"
Wed May 15 13:45:08 +0000 2019,   It\'s a joke.  The fact they share is pretty ridiculous on its own. Hell each\ ,"Kissimmee, FL"
Wed May 15 13:45:05 +0000 2019,Has visto/escuchado  Danos tu opini\ GRACIAS!! #debatesradiales #debatestelevisivos ,"Pembroke Pines, FL"
Wed May 15 13:45:04 +0000 2019,Only the evil and corruption of the  can outweigh the stumbling weakness and incompetency of the  In\ ,"Port St Lucie, FL"
Wed May 15 13:45:03 +0000 2019," Can you at least tell us who the original artist is??'""","Florida, USA"
