Date,Tweet,Country
Sat May 04 23:59:59 +0000 2019,Saturday and Sundays are the only days I think about my love life or lack thereof \,"Hempstead, NY"
Sat May 04 23:59:59 +0000 2019," Or sell it for 10x what you put into it.'""","New York, USA"
Sat May 04 23:59:55 +0000 2019, \,"Penfield, NY"
Sat May 04 23:59:55 +0000 2019,Search and destroy \ ,"Manhattan, NY"
Sat May 04 23:59:52 +0000 2019," Okay yeah Idk how this keeps happening'""","Manhattan, NY"
Sat May 04 23:59:50 +0000 2019," Welcome Boss'""","Stony Brook, NY"
Sat May 04 23:59:47 +0000 2019,"Brentwood: 7:51pm: sunset'""","Brentwood, NY"
Sat May 04 23:59:46 +0000 2019,"Ghosting is passive aggressive bullying #TheMoreYouKnow'""","Manhattan, NY"
Sat May 04 23:59:44 +0000 2019,"My vile nature allowed me to be uwelcoming and hostile to dissenting opinion, and probably still does. Okay. Time t\ ","New York, USA"
Sat May 04 23:59:44 +0000 2019,Well I found out why softball is canceled tomorrow. Lol it\ gonna pour all day Saturday. Sick. ,"Queens, NY"
Sat May 04 23:59:43 +0000 2019,#DeadtoMe\\n\,"Bronx, NY"
Sat May 04 23:59:43 +0000 2019,At Touch of Texas for  in line for meet and greet!!!! Can NOT wait to see him and his set!!!! @ Touch of\ ,"Hinmans Corners, NY"
Sat May 04 23:59:41 +0000 2019,Goals ,"White Plains, NY"
Sat May 04 23:59:37 +0000 2019,Great job to our U10 Blue team at the May Day tournament today!\\n#PUMAFam #albanyalleycats #alleycatfamily\ ,"Travers Corners, NY"
Sat May 04 23:59:37 +0000 2019,"Originally Released On February 1st, 2019. Thanks for your support and vote for my long streak Top Charting \'Sail T\ ","West New York, NJ"
Sat May 04 23:59:37 +0000 2019,Thankful to attend & speak at the Northeast Leadership Summit today! It was an incredible day in launching leaders\ ,"New York, USA"
Sat May 04 23:59:35 +0000 2019," Ages ago, I hated you for stuff you used to say, or maybe still say. We got into a few arguments, and yo\ ","New York, USA"
Sat May 04 23:59:33 +0000 2019," I don\ understand this, do you know him personally? As far as I\ concerned a partner who is supportive\ ","Manhattan, NY"
Sat May 04 23:59:33 +0000 2019,"So happy my children will never have baptism/Communion/Confirmation parties omg what a waste of money'""","Brooklyn, NY"
Sat May 04 23:59:32 +0000 2019,  Scoreless through 8-innings and winning in walk off fashion during todays Strike Out Can\ ,"Fishkill, NY"
Sat May 04 23:59:32 +0000 2019,Done by Fancy Dan - fancydanhands\\nDanny is in the shop Mon-Sat 12-8pm\\n*\\nInkstained Tattoo Studio\\n1828 Hylan Blvd -\ ,"Staten Island, NY"
Sat May 04 23:59:31 +0000 2019," Not Vince Russo because this storyline is at least interesting'""","North Syracuse, NY"
Sat May 04 23:59:31 +0000 2019,"Been looking forward to this... Hillary and Clinton (@ John Golden Theatre -  in New York, NY) ","Manhattan, NY"
Sat May 04 23:59:27 +0000 2019,This Wednesday May 8 Myself (Sandy Michelle) & NYC TransGirls Wednesday Party Ladies \ of Life\ Party fo\ ,"Manhattan, NY"
Sat May 04 23:59:25 +0000 2019,"Thanks so much to my girl for celebrating my \ We had a blast time together! We are quiet too much, but who ca\ ","Manhattan, NY"
Sat May 04 23:59:24 +0000 2019,"i\ so bored at work can someone BREAK UP or something'""","Manhattan, NY"
Sat May 04 23:59:24 +0000 2019," pig you are always welcome in my house'""","Manhattan, NY"
Sat May 04 23:59:21 +0000 2019,Okay I actually laughed lol ,"West Seneca, NY"
Sat May 04 23:59:21 +0000 2019,Fuckin\' Carl! Partying harder than anyone!  Come join him at Stamps...the bar in Tonawanda NY!!! @ Stamps... the bar ,"Tonawanda, NY"
Sat May 04 23:59:18 +0000 2019,  Also them ,"Manchester, NY"
Sat May 04 23:59:15 +0000 2019,"  Status quo Joe has NOTHING to offer the working people of this country. Walking Trainwreck is correct.'""","New York, USA"
Sat May 04 23:59:13 +0000 2019,"I don\ think I\ ever hated anyone as much as I hate Ramsay Bitchass/ Snow/ Bolton'""","Bronx, NY"
