Date,Tweet,Country
Sun Apr 28 23:59:59 +0000 2019,"  The Book is always better (lol)  , but I enjoyed it !'""","Flower Mound, TX"
Sun Apr 28 23:59:58 +0000 2019,Our strength and conditioning program is one of the best in the Nation. I\ a testimony. #buffnation #ebiGod ,"Canyon, TX"
Sun Apr 28 23:59:57 +0000 2019," OMG'""","Temple, TX"
Sun Apr 28 23:59:57 +0000 2019,"Yes I am rewatching last week\ brilliant episode to warm up'""","Highland Park, TX"
Sun Apr 28 23:59:56 +0000 2019, Lmao I just did the same bitch \ last night was fun though \,"El Paso, TX"
Sun Apr 28 23:59:56 +0000 2019," At least someone here has a brain and can spit some truth'""","Houston, TX"
Sun Apr 28 23:59:55 +0000 2019,Exactly one year ago today I picked up Larkin. It has been the greatest adventure of my entire life. I\ made so m\ ,"Texas, USA"
Sun Apr 28 23:59:55 +0000 2019,"Ok cool you\ got a great body but is that all you want to be remembered for?'""","Houston, TX"
Sun Apr 28 23:59:54 +0000 2019, oh yeahhhh forgot GOT\,"Texas, USA"
Sun Apr 28 23:59:54 +0000 2019," Happy Birthday!'""","Denton, TX"
Sun Apr 28 23:59:50 +0000 2019,"This job might be a great fit for you: Patient Care Assistant I -  #Nursing #Baytown, TX'""","Baytown, TX"
Sun Apr 28 23:59:49 +0000 2019,Interesting horses that you picked ,"North Richland Hills, TX"
Sun Apr 28 23:59:49 +0000 2019," here ya go sweet love!!'""","Cedar Park, TX"
Sun Apr 28 23:59:49 +0000 2019,I\ so jealous of my parents cuz I\ never gonna have a kid as good as theirs\,"Denton, TX"
Sun Apr 28 23:59:46 +0000 2019,"  Yep, Northern NM, especially from Santa Fe up to the CO border is about as close to 100%\ ","Dallas, TX"
Sun Apr 28 23:59:45 +0000 2019,"water is good'""","San Marcos, TX"
Sun Apr 28 23:59:44 +0000 2019,Klay closing out on Harden in Game 1 ,"San Antonio, TX"
Sun Apr 28 23:59:44 +0000 2019,Respect. ,"Victoria, TX"
Sun Apr 28 23:59:43 +0000 2019,"i thought brian was cool a\ until i found out he\ a patriots fan...'""","Odessa, TX"
Sun Apr 28 23:59:43 +0000 2019," I like sending the ladder down and bringing as many folding chairs as possible.'""","Austin, TX"
Sun Apr 28 23:59:43 +0000 2019," is shaking the world'""","North Richland Hills, TX"
Sun Apr 28 23:59:42 +0000 2019," very cute!'""","Farmers Branch, TX"
Sun Apr 28 23:59:42 +0000 2019," I\ ready!'""","Austin, TX"
Sun Apr 28 23:59:41 +0000 2019,"Ok, what? \\n#weirdshithanginginairports dfwairport #dallas #travel #dinosaurs @ DFW Airport ","Grapevine, TX"
Sun Apr 28 23:59:40 +0000 2019,Official cover for my FREE EP #IMT4U \ wait for my main entry #ITSSTILLBEAUTIFUL \ is an impromptu pro\ ,"San Antonio, TX"
Sun Apr 28 23:59:40 +0000 2019,"Tryna have a carnival date with someone'""","Texas, USA"
Sun Apr 28 23:59:39 +0000 2019," That\'s actually genius.""'","El Paso, TX"
Sun Apr 28 23:59:39 +0000 2019,"I used to be so embarrassed about pooping but now it\ like, if I gotta go, j gotta go.'""","Cibolo, TX"
Sun Apr 28 23:59:37 +0000 2019, yes tbh \,"Texas, USA"
Sun Apr 28 23:59:35 +0000 2019,   Again \ no I hope you can over come this huge tragedy\ this hom\ ,"Penitas, TX"
Sun Apr 28 23:59:34 +0000 2019,"imagine breathing air 250 million yrs ago\\ncrisp..fresh...not polluted.'""","Weatherford, TX"
Sun Apr 28 23:59:34 +0000 2019,Talk to em Deacon Brown\ ,"Abilene, TX"
Sun Apr 28 23:59:33 +0000 2019, Haha thank you \ ,"Texas, USA"
Sun Apr 28 23:59:27 +0000 2019,"IM NOT READY.\\nIM NOT READY.\\nIM NOT READY.\\nIM NOT READY.'""","Austin, TX"
Sun Apr 28 23:59:27 +0000 2019,Can more white men work selling beer? I\ tired of getting poc in trouble ,"Houston, TX"
Sun Apr 28 23:59:24 +0000 2019,"  Oh, wait, most Trump supporters have issues with reading comprehension.  Nevermind.'""","Dallas, TX"
Sun Apr 28 23:59:24 +0000 2019,"Although I\ mad at her, I\ like to wish one of my bff\ a happy birthday! Legit one day older than me! Lol hope y\ ","Weslaco, TX"
Sun Apr 28 23:59:23 +0000 2019,"LJT this past weekend, cotton fest is up for this upcoming week \ #FestivalSzn'""","Texas, USA"
