Date,Tweet,Country
Wed May 08 14:24:16 +0000 2019,"  Ahahaaaa'""","Longview, TX"
Wed May 08 14:24:16 +0000 2019,"  Awesome. Welcome back.'""","Dallas, TX"
Wed May 08 14:24:16 +0000 2019,When  said \ my furniture ain\ arrived yet...\ on New Apartment I felt that in my soul ,"Austin, TX"
Wed May 08 14:24:15 +0000 2019, You are more than enough   \,"Waco, TX"
Wed May 08 14:24:15 +0000 2019, everyday of my life ,"Corpus Christi, TX"
Wed May 08 14:24:14 +0000 2019,if the Pokemon Company doesn\ make the smart choice by naming the Detective Pikachu sequel \ PikaTWO\ i\ ,"Austin, TX"
Wed May 08 14:24:14 +0000 2019," In 1131'""","Arlington, TX"
Wed May 08 14:24:13 +0000 2019,"I just had a flat but we gon push for greater days'""","Houston, TX"
Wed May 08 14:24:12 +0000 2019," I hope you get up & get out to enjoy'""","Dickinson, TX"
Wed May 08 14:24:12 +0000 2019,I hate to say this but I like it when artists get hurt or cheated on because then we get that hurt music and I love\ ,"Garland, TX"
Wed May 08 14:24:11 +0000 2019,Keep waiting for ANY right if center Republican to run against Monsieur Squish/Cornyn. I\ vote for whomever that\ ,"Bridge City, TX"
Wed May 08 14:24:11 +0000 2019," YES!!!'""","Allen, TX"
Wed May 08 14:24:10 +0000 2019,So fun! \ ,"Houston, TX"
Wed May 08 14:24:09 +0000 2019," Thanks twin!!!'""","Stephenville, TX"
Wed May 08 14:24:09 +0000 2019,"yeah i like adventure time'""","Houston, TX"
Wed May 08 14:24:08 +0000 2019,"If he was willing to learn how to cook and drive, I\ stick with his ass. If not, hell naw. ","Plano, TX"
Wed May 08 14:24:07 +0000 2019," Facts all that other shit don\ matter loyalty and respect for herself will go a long wAy'""","Houston, TX"
Wed May 08 14:24:07 +0000 2019, \ \ \ \ 10 \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ 3 \,"Spring Valley Village, TX"
Wed May 08 14:24:07 +0000 2019, Me about any of my ex\,"San Marcos, TX"
Wed May 08 14:24:06 +0000 2019,"See our latest #Austin, TX job and click to apply: Delivery Driver -  #deliverydriver'""","Sunset Valley, TX"
Wed May 08 14:24:05 +0000 2019,"  This sounds like a presidential election ad'""","San Marcos, TX"
Wed May 08 14:24:05 +0000 2019,"Can you recommend anyone for this job in #Irving, TX?  #BusinessMgmt'""","Irving, TX"
Wed May 08 14:24:02 +0000 2019,just stay away from  ,"Dallas, TX"
Wed May 08 14:24:01 +0000 2019,"It ain\ yuh fault, dis one on me\","Waxahachie, TX"
Wed May 08 14:23:59 +0000 2019,"I declare that I am stronger than anything that the devil can throw at me #WeALLEN'""","Houston, TX"
Wed May 08 14:23:58 +0000 2019," yes sis!!!'""","Lubbock, TX"
Wed May 08 14:23:57 +0000 2019,"i can say with full confidence that 2019 has been the worst year of my life.'""","Bridge City, TX"
Wed May 08 14:23:56 +0000 2019,"The rumors and the press are true, you have lost a lifelong customer. I\ boycotting  unless I am absolutely\ ","Houston, TX"
Wed May 08 14:23:55 +0000 2019,"my eyes teared up when bmo sang 2 jake'""","Houston, TX"
Wed May 08 14:23:54 +0000 2019,"     Well I\'ve definitely found my first-year research project idea""'","Austin, TX"
Wed May 08 14:23:50 +0000 2019,Today\ activities.... #tourlife @ The Pavilion at Toyota Music Factory ,"Irving, TX"
Wed May 08 14:23:49 +0000 2019,Ain\'t it the truth?!\\n#BillionDollarLoser ,"Plano, TX"
Wed May 08 14:23:48 +0000 2019," Yeah, but what about Hillary\'s emails and Benghazi? Besides, Trump gained a lot of weight so isn\'t a total loser.""'","Dallas, TX"
Wed May 08 14:23:47 +0000 2019, 150% \,"Texas, USA"
Wed May 08 14:23:47 +0000 2019," Yep'""","Longview, TX"
Wed May 08 14:23:45 +0000 2019," Girl likewise! My cap might pop off because I\'m jumping out my seat for you during the ceremony""'","Houston, TX"
Wed May 08 14:23:45 +0000 2019,My mom asked me why I needed to stop and get another drink at the gas station when I already had \ ,"Austin, TX"
Wed May 08 14:23:44 +0000 2019,Have you ever wanted to be a part of the main combat power in our nation? Text OW60 to 462-769 to learn more\ ,"McKinney, TX"
Wed May 08 14:23:43 +0000 2019,"5 Things About Me:\\nFav Artist: J Cole\\nFav Sng: LAnd of the Snakes\\nFav Color: BLACK\\nFav Movie: Finding Nemo \\nFav Snack: Gummy Bears'""","Houston, TX"
Wed May 08 14:23:43 +0000 2019,"I\'m at Starbucks in Round Rock, TX ","Round Rock, TX"
Wed May 08 14:23:41 +0000 2019,Good morning I wont entertain that fuck boy ex of mine today.... Lord be his eyes so he doesn\ fall asleep while d\ ,"Houston, TX"
Wed May 08 14:23:41 +0000 2019, \,"Arlington, TX"
Wed May 08 14:23:39 +0000 2019,"He eats dirt and rocks and plants and his own ass but I serve my son ~filtered~ iced water because he \\nd e s e r v e s it'""","Denton, TX"
Wed May 08 14:23:37 +0000 2019,It\ Plano\'s British invasion! Pre-party with Beatles Trivia on Friday at McCall Plaza. Follow it up Sat. with Beat\ ,"Plano, TX"
Wed May 08 14:23:35 +0000 2019,"I always found funny how that dude was willing to jump on a little boat in foreign waters, with no supplies, and wi\ ","Houston, TX"
Wed May 08 14:23:35 +0000 2019,Did you turn in your OpGrad Registration form? DEADLINE is MAY 15th. Check the list for your name!! \\nNo Reg=No Entr\ ,"Willis, TX"
Wed May 08 14:23:34 +0000 2019,"If you want to bury me don\ forget your shovel'""","Brownsville, TX"
Wed May 08 14:23:34 +0000 2019," mannnn I gotta ask you something'""","Prairie View, TX"
Wed May 08 14:23:33 +0000 2019,"This rain not playing games today'""","Fort Worth, TX"
Wed May 08 14:23:32 +0000 2019,  Ty so much babe I think I probably get lost in her mentions \ But I appreciate you so\ ,"San Antonio, TX"
Wed May 08 14:23:31 +0000 2019,"being rich before you grown you f off a lot of $'""","Desoto, TX"
Wed May 08 14:23:30 +0000 2019, school starts in 7 mins and my bus isn\ here; i\ been waiting for 50 mins. ,"Sugar Land, TX"
Wed May 08 14:23:30 +0000 2019," Thank you, I said that y\'day, people want to take THEIR context and apply it. No, ur not w/ a super\ ","Houston, TX"
Wed May 08 14:23:30 +0000 2019,   Sure. Just like a kid lifting a pack of gum is the same a Ponzi scheme. ,"Plano, TX"
Wed May 08 14:23:30 +0000 2019," Is that really true?'""","Texas, USA"
Wed May 08 14:23:28 +0000 2019,"This rain irritating me'""","Tyler, TX"
Wed May 08 14:23:28 +0000 2019,Can\ wait for the summer \,"Houston, TX"
Wed May 08 14:23:27 +0000 2019,LMFAOO ,"Texas, USA"
Wed May 08 14:23:27 +0000 2019,There\ a fine line between crazy and psycho and I walk that line daily \,"Murphy, TX"
Wed May 08 14:23:26 +0000 2019,This job might be a great fit for you. Click the link in our bio to see it and more. PeopleSoft Academy Coordinator\ ,"Dallas, TX"
Wed May 08 14:23:26 +0000 2019,Just to let everyone know  is trash at the show\,"Carthage, TX"
Wed May 08 14:23:23 +0000 2019," \ gedaan!'""","Baytown, TX"
Wed May 08 14:23:23 +0000 2019," will there be some sort of event where the fans can show their appreciation for this season?'""","Plano, TX"
Wed May 08 14:23:22 +0000 2019, Thank you eyzi \,"Austin, TX"
Wed May 08 14:23:21 +0000 2019, That\ so great! Hooray! \,"McKinney, TX"
Wed May 08 14:23:18 +0000 2019," :))))))'""","San Marcos, TX"
Wed May 08 14:23:18 +0000 2019,"'"" For whoever desires to save his life will lose it , but whoever losses his life for MY sake will save it."" Luke 9:24\''","Flower Mound, TX"
Wed May 08 14:23:18 +0000 2019,"STRESSED. AF.'""","Mexia, TX"
Wed May 08 14:23:17 +0000 2019," Good day Sunshine!'""","Dallas, TX"
Wed May 08 14:23:12 +0000 2019,"Let people assume incorrectly. You know what you be doing'""","Clute, TX"
Wed May 08 14:23:11 +0000 2019,I don\ think y\ understand how calm days were. ,"San Marcos, TX"
Wed May 08 14:23:10 +0000 2019, I\ fine with just her \,"Texas, USA"
Wed May 08 14:23:09 +0000 2019,       Happy birthday  \,"Austin, TX"
Wed May 08 14:23:08 +0000 2019,"      Lol yes you are'""","Grapevine, TX"
Wed May 08 14:23:08 +0000 2019,Louisiana Lafayette this weekend \,"McKinney, TX"
Wed May 08 14:23:06 +0000 2019,"If you got a big ass bump on your genitals or ass, you probably shouldn\ be on here naked.'""","Houston, TX"
Wed May 08 14:23:06 +0000 2019, Agreed! All democrats should be completely embarrassed by their parties behavior!!!they have complet\ ,"Sugar Land, TX"
Wed May 08 14:23:05 +0000 2019," We\'re good""'","White Settlement, TX"
Wed May 08 14:23:05 +0000 2019,"i don\'t understand""'","Cedar Hill, TX"
Wed May 08 14:23:04 +0000 2019,#KBoom ,"Houston, TX"
Wed May 08 14:23:02 +0000 2019,I love her ,"Texas, USA"
Wed May 08 14:23:02 +0000 2019,Is the rain bugging you? Not us - we\'re too busy working out in the #AltaStrand fitness room! #workoutwednesday ,"Dallas, TX"
Wed May 08 14:22:55 +0000 2019,"  But he can\'t profit from us making our own solutions.""'","Houston, TX"
Wed May 08 14:22:54 +0000 2019,"Why are people so pressed about the MET gala???????????????'""","Houston, TX"
Wed May 08 14:22:53 +0000 2019,"      Yes, Winston is staying for his\ ","McKinney, TX"
Wed May 08 14:22:53 +0000 2019,"IF #Agile is implemented correctly in #B2B, it can drive the intended results. It takes work to understand it and a\ ","Austin, TX"
Wed May 08 14:22:52 +0000 2019,"I really gotta chill out. I got no filter towards ppl at work and I react however I do'""","Austin, TX"
Wed May 08 14:22:52 +0000 2019,"don\ mention his name'""","Texas, USA"
Wed May 08 14:22:49 +0000 2019,"just do me in'""","San Marcos, TX"
Wed May 08 14:22:48 +0000 2019,"Goodmorning and fuck you lame ass niggas'""","Houston, TX"
Wed May 08 14:22:48 +0000 2019,REALLY DABBIN ON THEY BITCH ASS \ \ On My Lap\ Out Now!!! #2STONED #ATX #Austin #Texas #Feature #Hustle\ ,"Austin, TX"
Wed May 08 14:22:47 +0000 2019,"  I\ heard of this phenomenon. Kids not getting licenses. It boggles my mind!'""","Austin, TX"
Wed May 08 14:22:46 +0000 2019,"'Click the link in our bio to see currently open #Database jobs like ""Data Engineer"" at Baker Hughes, a GE Company in Houston, TX. #BHGE\''","Houston, TX"
Wed May 08 14:22:43 +0000 2019," I need to know who I can contact for a complaint. This company is the worst.'""","Farmers Branch, TX"
Wed May 08 14:22:43 +0000 2019,"You mf right I\ bitter, You mf right I\ triggered.'""","Fort Hood, TX"
Wed May 08 14:22:42 +0000 2019,Your Best Days Are Now\\n\\nGod is not finish with you!The greatness He has placed inside of you has barely scratched t\ ,"Arlington, TX"
Wed May 08 14:22:42 +0000 2019,"Our  play Game 5 this evening. Looking forward to them a 3-2 lead on the series.- #houcouncil'""","Houston, TX"
Wed May 08 14:22:42 +0000 2019,Prayers for this math final please \,"Texas, USA"
Wed May 08 14:22:41 +0000 2019,"I\ gotten such little sleep these past two days. Rise and grind hello world'""","College Station, TX"
Wed May 08 14:22:40 +0000 2019,Nothing like waking up at 6am with an insane migraine. That\'s only barely just letting up... the hours later.\\nI hop\ ,"Copperas Cove, TX"
Wed May 08 14:22:40 +0000 2019,"  Nooooooo'""","Garland, TX"
Wed May 08 14:22:40 +0000 2019,It\ great this is getting made but it would be nice if  has it available. ,"Texas, USA"
Wed May 08 14:22:36 +0000 2019,Listen to the music\\n\,"Houston, TX"
Wed May 08 14:22:36 +0000 2019,Owen???? ,"Burleson, TX"
Wed May 08 14:22:36 +0000 2019,  Curly yes lawd \,"Houston, TX"
Wed May 08 14:22:32 +0000 2019," I like how the bullpin just non-chalantly opened the door for him as if it was no big deal.'""","Texas, USA"
Wed May 08 14:22:31 +0000 2019,"In my dream I was eating whataburger  and I was so sad when I woke up :('""","Denton, TX"
Wed May 08 14:22:31 +0000 2019,#ListingoftheDay  Granite countertops and stainless-steel appliances make this kitchen a dream to cook in. \ 3601 W\ ,"Dallas, TX"
Wed May 08 14:22:31 +0000 2019," Sometimes don\ even try. Like selling Trump on CNN'""","Austin, TX"
Wed May 08 14:39:50 +0000 2019,"Way to go, Pirates!\ ","Texas, USA"
Wed May 08 14:39:50 +0000 2019, White progressives see racial minorities as children. You wouldn\ call the cops on a child punching and\ ,"Dallas, TX"
Wed May 08 14:39:49 +0000 2019,Guess what? chicken butt\\n\\nGuess who? chicken poo\\n\\nGuess why? chicken thigh\\n\\nGuess where? chicken... chickens don\ ,"Houston, TX"
Wed May 08 14:39:49 +0000 2019, Duck tape them\,"Texas, USA"
Wed May 08 14:39:48 +0000 2019,"In 15 short months, these two may be going their separate ways.  McKenna plans to stay in Lubbock for nursing schoo\ ","Lubbock, TX"
Wed May 08 14:39:48 +0000 2019,"Enterprise Products is hiring in #Houston, TX! Read about our latest #Engineering job opening via the link in our b\ ","Houston, TX"
