Date,Tweet,Country
Tue Apr 23 12:31:03 +0000 2019,b'*there will  be a better life\nfor everyone.For women the best is yet be.\n3/ https://t.co/G54IKh7u04',"Lighthouse Point, FL"
Tue Apr 23 12:31:00 +0000 2019,b'Every path serves a purpose.\n  Gene Oliver #ENLIVEN #bebetter #qotd #motivation #quotes https://t.co/9eq4GGsS2V',"Sanford, FL"
Tue Apr 23 12:30:59 +0000 2019,b'@BradKRicha88 @andrew_booth_2 @young_channing @Dustinlow3 @dylanloos2 @gunmoney28 @jmac1181 @joe_maccaroni\xe2\x80\xa6 https://t.co/0Vwial1UIK',"Palm Harbor, FL"
Tue Apr 23 12:30:59 +0000 2019,"b""I'm at @IHOP in Orlando, FL https://t.co/6zFvkMQAez""","Florida, USA"
Tue Apr 23 12:30:56 +0000 2019,b'Beyonc\xc3\xa9 got the whole tl talm bout content she put out THREE YEARS AGO! I love this lady \xf0\x9f\x98\x82\xe2\x9d\xa4\xef\xb8\x8f',"Tallahassee, FL"
Tue Apr 23 12:30:56 +0000 2019,"b'Ladies when you feel like your man stepping out. Address that shit with him, not the bitch he really wants lol.'","Orlando, FL"
Tue Apr 23 12:30:55 +0000 2019,"b'I spoke to my best friend last night.  He said the following: \xe2\x80\x9cSince he won, since 2016, I promised myself that I w\xe2\x80\xa6 https://t.co/lqEFwEqFJE'","Weston, FL"
Tue Apr 23 12:30:54 +0000 2019,b'Y\xe2\x80\x99all.. how wonderful would it be if they were losing in Winterfell with no sight of the NK and dragon. He rolls up\xe2\x80\xa6 https://t.co/HjVsv4KeEF',"Navarre, FL"
Tue Apr 23 12:30:53 +0000 2019,"b""@JeffreyRotzoll Awesome! Did you know there's a #BCLittleHack this Friday? Also, did you sign up for the @pghvmug usercon in May yet?""","Florida, USA"
Tue Apr 23 12:30:53 +0000 2019,b'@someday_deane A bubble that precludes her from knowing veterans and understanding veterans issues.',"Treasure Island, FL"
Tue Apr 23 12:30:50 +0000 2019,b'@realDonaldTrump Josh Hendrick SUCKS on Tuesday',"Cutler Bay, FL"
Tue Apr 23 12:30:50 +0000 2019,b'@TeeGa77 Thanks Ms.G',"Miami, FL"
Tue Apr 23 12:30:50 +0000 2019,b'What\xe2\x80\x99s the best concert happening this year?',"Timber Pines, FL"
Tue Apr 23 12:30:49 +0000 2019,b'@vantillian Anyway curious to see how today plays out on it',"Town 'n' Country, FL"
Tue Apr 23 12:30:48 +0000 2019,"b""@RealMattCouch Don't for get Judy WOODROT an PBS !!! How do they live with themselves ? Constant TRUMP bashing !!!""","Bayonet Point, FL"
Tue Apr 23 12:30:48 +0000 2019,b'I\xe2\x80\x99ve selected Sansa Stark to sit on the Iron Throne! https://t.co/frtnM4EUsB #GameofThrones',"Lakewood Park, FL"
Tue Apr 23 12:30:44 +0000 2019,b'HORRIFYING. These innocent praying victims and one evil coward. \xf0\x9f\x98\xa5\xf0\x9f\x98\x93 #PrayForSriLanka https://t.co/bY2W9kTMKu',"Coral Springs, FL"
Tue Apr 23 12:30:42 +0000 2019,b'@alziiTV Primal &gt; Aether \xf0\x9f\x98\x8b',"Florida, USA"
Tue Apr 23 12:30:42 +0000 2019,b'@_64Charlie2Cool wait till i get back down there',"West Palm Beach, FL"
Tue Apr 23 12:30:42 +0000 2019,b'@niranam_salt \xe0\xb8\x82\xe0\xb8\xad\xe0\xb8\x9a\xe0\xb8\x84\xe0\xb8\xb8\xe0\xb8\x93\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x9e\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x99\xe0\xb8\xb4\xe0\xb8\x84 \xe0\xb8\xa2\xe0\xb8\xb1\xe0\xb8\x87\xe0\xb8\x95\xe0\xb8\x81\xe0\xb9\x83\xe0\xb8\x88\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xb9\xe0\xb9\x88\xe0\xb9\x80\xe0\xb8\xab\xe0\xb8\xa1\xe0\xb8\xb7\xe0\xb8\xad\xe0\xb8\x99\xe0\xb8\x81\xe0\xb8\xb1\xe0\xb8\x99\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x9a \xe0\xb8\x9c\xe0\xb8\xa1\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xb9\xe0\xb9\x88 \xe0\xb8\x95\xe0\xb8\x9b\xe0\xb8\x97 \xe0\xb9\x80\xe0\xb8\x9e\xe0\xb8\xb7\xe0\xb9\x88\xe0\xb8\xad\xe0\xb8\x99\xe0\xb9\x81\xe0\xb8\x88\xe0\xb9\x89\xe0\xb8\x87\xe0\xb8\xa1\xe0\xb8\xb2',"Florida, USA"
Tue Apr 23 12:30:41 +0000 2019,b'@jefecharleston @BravoTV Can not wait!! #NOLA #saintsfanforlife #WhoDat',"Land O' Lakes, FL"
Tue Apr 23 12:30:40 +0000 2019,b'What a great Clapton live record\xf0\x9f\x8e\xb8https://t.co/wso6TkJU2N',"Boynton Beach, FL"
Tue Apr 23 12:30:39 +0000 2019,"b'I bet that some of these schools, like @creekside_rocks, have high absenteeism due to students going on vacation. T\xe2\x80\xa6 https://t.co/P2wbnZY82g'","Port Orange, FL"
Tue Apr 23 12:30:36 +0000 2019,b'Bernie &amp; Biden r pushing 80   They might not even make it thru the primaries  !!!!   Not even Geritol &amp; Depends wil\xe2\x80\xa6 https://t.co/dM9YZbpxoG',"West Palm Beach, FL"
Tue Apr 23 12:30:36 +0000 2019,b'#HeyOviedo - Registration for summer Adult Flag Football \xf0\x9f\x8f\x88 is underway through May 9th or until full. The season st\xe2\x80\xa6 https://t.co/kBN6kdSQif',"Oviedo, FL"
Tue Apr 23 12:30:35 +0000 2019,"b'Just posted a photo @ Cocoa, Florida https://t.co/3b23OPOa2u'","Cocoa, FL"
Tue Apr 23 12:30:35 +0000 2019,"b'@ewarren Not easy to be a Good President like Trump.. fight for our culture, our industries, our taxes, our borders\xe2\x80\xa6 https://t.co/CelpYJk3oH'","Florida, USA"
Tue Apr 23 12:30:34 +0000 2019,b'@KennedyJonesTHO People who are \xe2\x80\x9cinfluencers\xe2\x80\x9d finna be mad as hell',"Orlando, FL"
Tue Apr 23 12:30:33 +0000 2019,b'Flounders are not a Guppies. #colmstyle #liittlemermaid @ Chain of Lakes Middle School - OCPS https://t.co/aqrjzokjIU',"Doctor Phillips, FL"
Tue Apr 23 12:30:32 +0000 2019,b'@HardRockinGirl https://t.co/iIGZITF9Ra',"Land O' Lakes, FL"
Tue Apr 23 12:30:28 +0000 2019,b'@aadrian_k Poor jajaj',"Miami Beach, FL"
Tue Apr 23 12:30:28 +0000 2019,b'@vantillian Exactly..',"Town 'n' Country, FL"
Tue Apr 23 12:30:27 +0000 2019,b'When the squad is on fleek- the hoes scatter \xf0\x9f\x98\x82 https://t.co/xPDQvRC4Po',"Florida, USA"
Tue Apr 23 12:30:25 +0000 2019,b'Like ok torture yourself looking at my tits like he does \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',"Orlando, FL"
Tue Apr 23 12:30:24 +0000 2019,b'Chill i remember niggas used to snap w the zip ties https://t.co/ZhyuHlGyej',"Tampa, FL"
Tue Apr 23 12:30:21 +0000 2019,b'My favorite moment of the evening. I know there were many policy moments - but this is a perfect example of\xe2\x80\xa6 https://t.co/MzW2sIZ9TV',"Safety Harbor, FL"
