Date,Tweet,Country
Tue Apr 23 12:31:03 +0000 2019,"  Good Luck Texans \ #Champions'""","Fort Worth, TX"
Tue Apr 23 12:30:59 +0000 2019," Love it! Happy Earth Day!'""","Austin, TX"
Tue Apr 23 12:30:54 +0000 2019,The Village Vikings Golf \ \ Team is up early warming up at the driving range getting ready for Tapps Golf Region\ ,"San Antonio, TX"
Tue Apr 23 12:30:54 +0000 2019,"Evolving is the only way'""","Arlington, TX"
Tue Apr 23 12:30:53 +0000 2019,,"New Braunfels, TX"
Tue Apr 23 12:30:53 +0000 2019,"7:29am Radar Update: Heads up Midland! Lightning, heavy rain, and up to nickel sized hail heading your way! #txwx\ ","Midland, TX"
Tue Apr 23 12:30:53 +0000 2019,So interesting to watch. O\ is a parody candidate. Left media gives and left media taketh away. ,"Texas, USA"
Tue Apr 23 12:30:51 +0000 2019,"First time back in a class since high school and got \\n95\\n90\\n86\\n68\ my tests \\nIs this good?'""","Arlington, TX"
Tue Apr 23 12:30:51 +0000 2019,"10 count \\nSet 1, count down to 1\\nI don\ like Mr Jerome this morning \ @ TITLE Boxing Club Missouri Ci\ ","Missouri City, TX"
Tue Apr 23 12:30:50 +0000 2019,"    himself. Spying, fake dossier, unverified FISA Warrants\ ","Texas, USA"
Tue Apr 23 12:30:50 +0000 2019,"    I personally don\ feel uncomfortable but I respect who does, also I unde\ ","McKinney, TX"
Tue Apr 23 12:30:44 +0000 2019,   por que anda as\ de alterado el ,"El Paso, TX"
Tue Apr 23 12:30:43 +0000 2019," I also got two sonico figures this weekend. I think it brings my total to about 60 something....'""","Watauga, TX"
Tue Apr 23 12:30:42 +0000 2019,The homie told me to chill on my tweets I might hurt some feelings. Y\ know where that unfollow button is. Easy\,"Irving, TX"
Tue Apr 23 12:30:36 +0000 2019,Good Morning! Picking up my breakfast taco....Yum! @ El Pato Mexican Food #11 ,"McAllen, TX"
Tue Apr 23 12:30:34 +0000 2019,Who finished it? ,"Houston, TX"
Tue Apr 23 12:30:33 +0000 2019,On to round 2! ,"Dallas, TX"
Tue Apr 23 12:30:33 +0000 2019,"'#DiligentTuesday.  \\n""The process is hard work.  That\\\'s what it is.  It\\\'s Hard Work.  It\\\'s doing things the r\ ","Lubbock, TX"
Tue Apr 23 12:30:33 +0000 2019,"It\ not a want, it\ a need\ ","Texas, USA"
Tue Apr 23 12:30:32 +0000 2019,Baby Ahk x Big Flock - LHRH (Official Video) | Dir.   via ,"Houston, TX"
Tue Apr 23 12:30:31 +0000 2019,"My dad was a great story teller, so I grew up listening to the best. Then when I became a teacher/professor being a\ ","Lampasas, TX"
Tue Apr 23 12:30:30 +0000 2019," Quit cheering for the home team! It\'s forbidden!""'","Texas, USA"
Tue Apr 23 12:30:30 +0000 2019,"Fuck I need coffee'""","Texas, USA"
Tue Apr 23 12:30:29 +0000 2019,We open Friday! Get your tickets for this funny and sweet show\\n\\n#BSPSavannah #director #livetheatre #supportthearts\ ,"Gainesville, TX"
Tue Apr 23 12:30:28 +0000 2019,,"Duncanville, TX"
Tue Apr 23 12:30:23 +0000 2019,Good Morning! ,"Austin, TX"
Tue Apr 23 12:30:22 +0000 2019,the world needed to know \ ,"Houston, TX"
Tue Apr 23 12:30:21 +0000 2019,Your Tuesday never tasted so good....... \ #VisitElPaso #VisitaElPaso #Foodies #Brewery\ ,"El Paso, TX"
Tue Apr 23 12:30:15 +0000 2019,It would be nice to have an opportunity to vote for local elections  renting in stone oak and my vot\ ,"San Antonio, TX"
Tue Apr 23 12:30:15 +0000 2019,"Lol, have you ever been stubborn like me? Day 2 of the 3 day Challenge starts now. \\n\  \\n\ ","Pearland, TX"
Tue Apr 23 12:30:14 +0000 2019, \,"Houston, TX"
Tue Apr 23 12:30:13 +0000 2019,Nothing but respect for my interim president ,"Austin, TX"
Tue Apr 23 12:30:13 +0000 2019," Lost our #AstroMojo'""","Round Rock, TX"
Tue Apr 23 12:30:08 +0000 2019,this is NOT. the kind of wife i am trying to be. NOT AT ALL. make no mistake  ,"Houston, TX"
Tue Apr 23 12:30:08 +0000 2019,"GUESS WHO COMES HOME TONIGHT?!?!'""","Houston, TX"
Tue Apr 23 12:30:08 +0000 2019,"   Thanks man!'""","Woodville, TX"
Tue Apr 23 12:30:02 +0000 2019,Excelente dia #Guerreros y el dia de hoy es #FollowBackGuerrero \\nIntenci\ \\n1. Hacer la comunidad #Guerrera mas Gra\ ,"Royse City, TX"
Tue Apr 23 12:30:02 +0000 2019,"#USGS08033000 - Neches Rv nr Diboll, TX\\nHeight: 12.66ft \ (12ft)\\nFlow: 4510cfs\\n","Texas, USA"
Tue Apr 23 12:30:01 +0000 2019,"IONT THINK I GOTTA PRACTICE SHIT BC MOM AINT RAISE NO FUCKIN PREACHER'""","Houston, TX"
Tue Apr 23 12:30:01 +0000 2019,I hate when this shit happen bro \ ,"Duncanville, TX"
Tue Apr 23 12:29:59 +0000 2019,"  Fun!!!'""","San Antonio, TX"
Tue Apr 23 12:29:59 +0000 2019,And i still  rewatch it 2838282 times ,"Houston, TX"
Tue Apr 23 12:29:58 +0000 2019,21 21 21 21 21 \,"San Antonio, TX"
Tue Apr 23 12:29:57 +0000 2019,"Long live NIP'""","Houston, TX"
Tue Apr 23 12:29:56 +0000 2019, Chika rta pag ka vid ta \,"Houston, TX"
Tue Apr 23 12:29:55 +0000 2019,April 23 is apparently a bad day for injuries around our house\ ,"Argyle, TX"
Tue Apr 23 12:29:55 +0000 2019,"Tired of hearing Bernie & Pete are leading in the polls.  Nobody else is getting coverage.'""","Mansfield, TX"
Tue Apr 23 12:29:51 +0000 2019," Martin, you will always be an ASTRO to me - forever grateful for your play and your passion!'""","Houston, TX"
Tue Apr 23 12:29:49 +0000 2019,Someone please bring cocaine to my work I\ barely managing to stay awake \,"El Paso, TX"
Tue Apr 23 12:29:46 +0000 2019, did this to me when she first went to college \ but God had my back and exposed all them rat ass hoes .\ ,"Stafford, TX"
Tue Apr 23 12:29:45 +0000 2019," puppy pads are a good solution, they learn how to use them'""","San Antonio, TX"
Tue Apr 23 12:29:43 +0000 2019, You should have spent more time playing Sheepshead in college\,"Richmond, TX"
Tue Apr 23 12:29:42 +0000 2019,Should natural gas be a required secondary fuel source? - Austin Monitor ,"Austin, TX"
Tue Apr 23 12:29:42 +0000 2019," I\ over the bullshit I just wish the feelings go away'""","San Antonio, TX"
Tue Apr 23 12:29:41 +0000 2019, Thank you \,"Texas, USA"
