Date,Tweet
Wed May 27 07:17:53 PDT 2009,"["" mike tyson's daughter.\n""]"
Wed May 27 07:17:54 PDT 2009,['Wishing my sit e would get some sales...  \n']
Wed May 27 07:17:56 PDT 2009,['Me so #hungee #hungee again... \n']
Wed May 27 07:17:56 PDT 2009,"[""so sad tragedy of Mike Tyson's daughter \n""]"
Wed May 27 07:17:57 PDT 2009,"['""@RainbowSoulPoet Awww', ' wish I could bring you some chicken soup ""\n']"
Wed May 27 07:17:58 PDT 2009,['@patrick_stump I am! but I live in Europe \n']
Wed May 27 07:18:03 PDT 2009,['walk up on the wrong side of the pillow \n']
Wed May 27 07:18:03 PDT 2009,['I miss him and I wish he wasnt at school right now! Cuz I want to spend as much time with him before I have to leave \n']
Wed May 27 07:18:09 PDT 2009,"['""Jealz of everyone @trock last night', ' I heard it was a blast  aauuuguuuust', ' BE HERE NOW!""\n']"
Wed May 27 07:18:10 PDT 2009,['TRYIN 2 GET REST BE4 I GO ON SHIFT... 12 LONG DAMN HOURZ  ....\n']
Wed May 27 07:18:10 PDT 2009,"[""@woeiTweet don't have time to fb 2day beside checking on my maxis bill. They don't bother to call you back to update you on the status. \n""]"
Wed May 27 07:18:10 PDT 2009,['another cloudy day  wish the clouds would go away..\n']
Wed May 27 07:18:12 PDT 2009,['@NairArun And I am not in town \n']
Wed May 27 07:18:13 PDT 2009,['having a sucky day \n']
Wed May 27 07:18:14 PDT 2009,"[""@RychEnt..if these vets cannot pull in a 100k in 1st week's sales..Hip Hop is dead man..dead!!!They shd quit putting out albums and tour \n""]"
Wed May 27 07:18:14 PDT 2009,['What the hell happened to the sun. Come back \n']
Wed May 27 07:18:16 PDT 2009,"['""&quot;Those who provoke [North Korea] once will not be able to escape its unimaginable and merciless punishment.&quot; Oh dear', ' not lookin good ""\n']"
Wed May 27 07:18:16 PDT 2009,['@shamiahatesyou you and me both! \n']
Wed May 27 07:18:16 PDT 2009,['Fin work! Now on bus. And it stinks of sick!!! Ewwwwww it reaks!! Blahhh I wana get off!! \n']
Wed May 27 07:18:18 PDT 2009,['@DanielFielding Oh you are not the only one who wants to get back to bed! haha.. But I must work  did u take any pills or smthing?\n']
Wed May 27 07:18:18 PDT 2009,['@afatal_incision  i know right\n']
Wed May 27 07:18:20 PDT 2009,"[""@liiizeth what's up? \n""]"
Wed May 27 07:18:20 PDT 2009,['i very hungry eh! \n']
Wed May 27 07:18:21 PDT 2009,"[""It's over after today... Mid-East grad tomorrow-MHS Sunday  (excited but sad)\n""]"
Wed May 27 07:18:21 PDT 2009,"['""yay so back on twitter and i have to get all my followers back  sucks for me! anyway', ' its raining in ny...gross. needs to be 80 again!""\n']"
Wed May 27 07:18:23 PDT 2009,['packing up my room \n']
Wed May 27 07:18:26 PDT 2009,['Go Barca! ...I wanna watch the game \n']
Wed May 27 07:18:28 PDT 2009,['IE8 issues http://edskes.net/ie8overflowandexpandingboxbugs.htm  \n']
Wed May 27 07:18:31 PDT 2009,"[""bedtime's near here..  need to sleep got to be up early for a brand new day. hello dreamworld! nite! zZzzzZZzzZZ\n""]"
Wed May 27 07:18:32 PDT 2009,"['""@all_lies_about ? ?? ???? ??????', ' ?? ??? ?? ????? ?????? ""\n']"
Wed May 27 07:18:33 PDT 2009,['My shopping diet has spawned a new creativity for my closet... but I still miss it. \n']
Wed May 27 07:18:34 PDT 2009,['...is dealing with the end of 24 hour stomach flu \n']
Wed May 27 07:18:37 PDT 2009,"['""@rainbowglow unfortunately no', ' they haven\'t   guess i\'ll have to wait and see if they come tomorrow.""\n']"
Wed May 27 07:18:39 PDT 2009,['@FireflySoap Do...... Do.... you have.. REeeaal fireflies in you?  Is that what the speckles are?\n']
Wed May 27 07:18:40 PDT 2009,"[""@ch33symac Aw  hope it's really good coffee\n""]"
Wed May 27 07:18:41 PDT 2009,['Im just soooo....blah today.   Could it be because I have been up since 3:00 am.\n']
Wed May 27 07:18:42 PDT 2009,"[""United fan stabbed in Rome. The game hasnt even kicked off yet  that's Italian fans for ya though http://tinyurl.com/o6xahb\n""]"
Wed May 27 07:18:42 PDT 2009,"['""@gvaro Thanks.  It doesn\'t look that difficult', ' but I am not very good at these tests. ""\n']"
Wed May 27 07:18:45 PDT 2009,['is searching for people to follow :L and where has mitch hewer gone!!??  get him back on our screens please!!\n']
Wed May 27 07:18:46 PDT 2009,['@threefourteen  Much sympathy to you &amp; yours.\n']
Wed May 27 07:18:48 PDT 2009,"['""@JGizmo22 Nothing bad', ' I\'m just feeling really overwhelmed. ""\n']"
Wed May 27 07:18:50 PDT 2009,['its madd nasty outside ewww I hate havin to put my hair in a ponytail but I really have no choice \n']
Wed May 27 07:18:52 PDT 2009,"['""@Wyldceltic1 I kind of want to', ' haha. I like my privacy. ""\n']"
Wed May 27 07:18:53 PDT 2009,"[""i stubbed my toe on desire. they told me i was wrong all along. that's why they act queer. it must be just a demon putting me in gear. \n""]"
Wed May 27 07:18:54 PDT 2009,['HATES having to be a drill sargeant in the morning in order to get us all up and out the door on time. \n']
Wed May 27 07:18:54 PDT 2009,"[""I just ate a Ginsters sausage roll and 3 packets of fruit pastilles. I'm supposed to be eating healthily \n""]"
Wed May 27 07:18:55 PDT 2009,['@kassy4 boo   the safetygoat must be pissed\n']
Wed May 27 07:18:58 PDT 2009,"[""@kaelacastelucci Ahhhhhhh from the little searching I did looks like mp3's can't b ringtones \n""]"
Wed May 27 07:18:59 PDT 2009,"[""@thebishopoftwit trouble is I've been told they're so bad it'll take 6mo OFF COMPLETELY to heal them properly \n""]"
Wed May 27 07:19:02 PDT 2009,['Why is the weather so pants today \n']
Wed May 27 07:19:02 PDT 2009,"[""@Jah423 happy go lucky ass lol that's great I wish I could go to MIA and L.A.  you should come get me lol\n""]"
Wed May 27 07:19:05 PDT 2009,['showering and heading into work. not the best start to any day \n']
Wed May 27 07:19:07 PDT 2009,"['""Hates that I lost my shot records...having 2 get shots I\'ve already had', ' but no record of ""\n']"
Wed May 27 07:19:07 PDT 2009,"[""@pcdnicole I don't wanna be just (an)other fan \n""]"
Wed May 27 07:19:08 PDT 2009,['Late for work and a cat peed on my gi  \n']
Wed May 27 07:19:09 PDT 2009,"[""Waking up... It's too early \n""]"
Wed May 27 07:19:12 PDT 2009,"['""justt wokee up and soooo tired still', ' ughh its only a wednesday ""\n']"
Wed May 27 07:19:13 PDT 2009,"[""bedtime's gettin near here..  need to sleep got to be up early for a brand new day. hello dreamworld! nite! zZzzzZZzzZZ\n""]"
Wed May 27 07:19:20 PDT 2009,"[""rain rain go away. I'd like to bike to work someday. If only I had waterproof gear \n""]"
Wed May 27 07:19:21 PDT 2009,"['""Coraline was really good', ' sinister plot and burton-esque artistry wasted on most though ""\n']"
Wed May 27 07:19:25 PDT 2009,['Seesmic Desktop is crashing my MBP when sending it to sleep - back to Tweetdeck - still no sufficient groupmanagement for twitter \n']
Wed May 27 07:19:25 PDT 2009,"[""Making tea instead of coffee this morning. Doctor's orders.  I weep for my coffee.\n""]"
Wed May 27 07:19:25 PDT 2009,"[""I got a crazy hangover &amp; they're doing repairs in my house WTFFF \n""]"
Wed May 27 07:19:26 PDT 2009,['@eastofnorth ouch \n']
Wed May 27 07:19:28 PDT 2009,"['""making french', ' ""\n']"
Wed May 27 07:19:28 PDT 2009,"['""@waferbaby: something\'s wrong with your wall', ' i cannot scrawl. ""\n']"
Wed May 27 07:19:29 PDT 2009,"['""Bored to hell with science revision  But on the upside....wait', ' there is no upside.""\n']"
Wed May 27 07:19:31 PDT 2009,"['""@RightGirl I took her to the vet', ' but they couldn\'t do anything for her.  ""\n']"
Wed May 27 07:19:33 PDT 2009,['im in science hoping that i die \n']
Wed May 27 07:19:34 PDT 2009,['Why Couldnt things be different \n']
Wed May 27 07:19:54 PDT 2009,"[""zune HD looks so good! time to upgrade from 1st gen. battery life is down to 3 1/2 hours  can't wait to see more info on live integration\n""]"
Wed May 27 07:19:54 PDT 2009,"[""@crisangwich I know it and my dumb cat hasn't returned \n""]"
Wed May 27 07:19:57 PDT 2009,['On the way to Gamma Construction... I miss @mlo85 \n']
Wed May 27 07:20:01 PDT 2009,['is tiired revisin \n']
Wed May 27 07:20:02 PDT 2009,"[""Finally! Getting the snow tires off my car and brand new summer tires. Shame it's raining \n""]"
Wed May 27 07:20:02 PDT 2009,"['""@igortizz argh', ' sims 3 is still yet to come out here  jealoussss""\n']"
Wed May 27 07:20:03 PDT 2009,['I should have known... \n']
Wed May 27 07:20:08 PDT 2009,"['""@MyHomepage I look a right mess', ' not very happy  the stylist forgot to bring shoes so I have to wear my own and urgh whatever.""\n']"
Wed May 27 07:20:09 PDT 2009,"['""*Phew* just submitted my module selections', ' that was tough', ' \x7fback to revision for Accounting *sigh* two exams in less than 24 hours ""\n']"
Wed May 27 07:20:11 PDT 2009,['am still stiff from my marathon workout in the garden on Monday...but got my pilates ball and sadly cannot even give it a go! \n']
Wed May 27 07:20:12 PDT 2009,"['""@summersgotstyle done 2 German reading papers today', ' have you? I NEED TO CONCENTRATE! ""\n']"
Wed May 27 07:20:12 PDT 2009,['@Faithable no...and now the stupid air conditioner is going to run non stop...going to freeze!  Still going to be a bad day \n']
Wed May 27 07:20:13 PDT 2009,['drivin to school bout to fail his finals \n']
Wed May 27 07:20:17 PDT 2009,"['""@LizandLisa My Girl has one of those', ' would welcome any tips!! Making it passable involves tears', ' complete taming just never happens ""\n']"
Wed May 27 07:20:17 PDT 2009,['@d3signar  I must wait another hour \n']
Wed May 27 07:20:18 PDT 2009,['@Petnanny1 I know there are several ... not sure of the names tho. \n']
Wed May 27 07:20:18 PDT 2009,['@Rochoje aww my cutie lil nephew. I miss them \n']
Wed May 27 07:20:20 PDT 2009,['#mw2 hell i wana see anova trailer with 1st person action also how captian price died \n']
Wed May 27 07:20:20 PDT 2009,['awwwwwww damn.. am only just watchin game4 between the cavs and the magic and accidently found out the score!! lol \n']
Wed May 27 07:20:21 PDT 2009,['@Pink Would be in style if it was heading to Brazil. \n']
Wed May 27 07:20:21 PDT 2009,['About to start my day! Feeling a little sick to my stomach though  Ick.\n']
Wed May 27 07:20:21 PDT 2009,['This might be old news to some people but I just found out that Delirious is not together anymore  http://tinyurl.com/qwztwr\n']
Wed May 27 07:20:22 PDT 2009,"['""UGH! Windows 7 did not work. But this time was taking the p*ss', ' had to reinstall Vista. Luckily I backed up', ' but lost all Firefox data! ""\n']"
Wed May 27 07:20:22 PDT 2009,['@sammyfavs you never loved me \n']
Wed May 27 07:20:24 PDT 2009,['Teared up listening to prop 8 story on NPR this morning. What a battle. \n']
Wed May 27 07:20:27 PDT 2009,"[""@missdaisyx: nope lol I'm just walking to classs already aww shit the bell rang \n""]"
Wed May 27 07:20:28 PDT 2009,"[""arrggghhh!! i cant believe that i also missed the chance to watch the FREE livestreaming of katy perry's concert in Japan an hour ago!! \n""]"
Wed May 27 07:20:28 PDT 2009,"['""I\'ve been sleeping wayyyy too much lately. And yet', ' I\'m still exhausted. ""\n']"
Wed May 27 07:20:29 PDT 2009,['another gloomy day  boo\n']
Wed May 27 07:20:29 PDT 2009,"[""DAMN YOU FUCKING APPLE AND MATSHITA!!! That's twice this year your fucking drives have crapped out on me \n""]"
Wed May 27 07:20:31 PDT 2009,['Off to work.  The crappy part of the day begins \n']
Wed May 27 07:20:31 PDT 2009,"[""@CaseyLeigh21 yay!!! i totally agree...but i don't think bree will let me.... \n""]"
Wed May 27 07:20:33 PDT 2009,['Working on a movie set today in the middle of nowhere with no cell phone signal. \n']
Wed May 27 07:20:33 PDT 2009,['@radiocontroldan yet they conflict with each other :o  and i got a fecking exam tommorrow an all \n']
Wed May 27 07:20:34 PDT 2009,['tired and sticky.. \n']
Wed May 27 07:20:35 PDT 2009,['Working on a movie set today in the middle of nowhere with no cell phone signal. \n']
Wed May 27 07:20:35 PDT 2009,['@GeorgiaAquarium bring back the sea lions \n']
Wed May 27 07:20:36 PDT 2009,"[""@TeeDayZ I'm up thinking about Angelia I think I heard her crying in my dream and now I can't go back to sleep.  I miss her\n""]"
Wed May 27 07:20:37 PDT 2009,"['""@j4 sounds like a plan', ' although I\'ll be on holiday/visiting family = work? that week ""\n']"
Wed May 27 07:20:38 PDT 2009,"['""fuck', ' need to go to the tailor! freakin storm outside ""\n']"
Wed May 27 07:20:39 PDT 2009,"[""@xYarax We're staying in Jeddah looking for jobs this summer \n""]"
Wed May 27 07:20:39 PDT 2009,['Coffee time again. Then off to drop off Pris to the airport     :bigcry:\n']
Wed May 27 07:20:42 PDT 2009,"[""goose just died...saddest scene i've seen... \n""]"
Wed May 27 07:20:43 PDT 2009,['Blue screen of death this a.m. Cannot read yr tweets \n']
Wed May 27 07:20:43 PDT 2009,['ew ew eew. ear buds gross me out \n']
Wed May 27 07:20:45 PDT 2009,"[""REALLY wanted today to be a sick day...but I'm here at work \n""]"
Wed May 27 07:20:45 PDT 2009,['Henching it at work. Goddamn Westminster weather \n']
Wed May 27 07:20:46 PDT 2009,"['""@Trixy98 idk', "" i 'm btw getting my German exam tomorrow"", ' i totally blew it. just couldn\'t remember a word ""\n']"
Wed May 27 07:20:47 PDT 2009,"[""Been up for an hour cause I couldn't fall back asleep and now I'm tired and have to get up for work... why can't I sleep an entire night? \n""]"
Wed May 27 07:20:48 PDT 2009,"['""Gross grosss gross', ' would sit next to me. Hate right now bus ""\n']"
Wed May 27 07:20:48 PDT 2009,['severe lack of tf2 servers \n']
Wed May 27 07:20:51 PDT 2009,['@SUMOSKILL sad sad little boy \n']
Wed May 27 07:20:58 PDT 2009,['@SofiaMiller Oh no no no no...Its not the final paper! there are 5 more left \n']
Wed May 27 07:20:59 PDT 2009,['Noooo...I just realized I forgot my reusable water bottle with my tasty filtered water.  The water here tastes different \n']
Wed May 27 07:21:02 PDT 2009,['@morissette nunca mais twittou \n']
Wed May 27 07:21:03 PDT 2009,['Appletini wrote and recorded a song for me and it has made me cry. Goodbyes are lame  \n']
Wed May 27 07:21:04 PDT 2009,['Ugh wednesday begins with an unusual assortment of stomach pains \n']
Wed May 27 07:21:05 PDT 2009,"['"".@dogwood yep', ' right out of a #Clancy or #DaleBrown novel - take your pick ""\n']"
Wed May 27 07:21:07 PDT 2009,"['""@littlebead you\'re so lucky', "" Ocado don't deliver to my postcode  No"", ' I don\'t live in the middle of a field in the back end of nowhere lol""\n']"
Wed May 27 07:21:07 PDT 2009,"[""Slow moving Wednesday... don't you just love to hear when one of your projects gets &quot;dumbed-down&quot; because of cost? \n""]"
Wed May 27 07:21:11 PDT 2009,"['""Decisions', ' decisions.. clean', ' paint', "" catch up on 'puter stuff"", ' or design. Raining outside', ' so I can\'t go in the garden like I want to. ""\n']"
Wed May 27 07:21:14 PDT 2009,['why are peaches furry? its a little bit like eating a carpet... \n']
Wed May 27 07:21:15 PDT 2009,['My daddy left today. \n']
Wed May 27 07:21:18 PDT 2009,['@nakiasmile I took the day off \n']
Wed May 27 07:21:19 PDT 2009,['going for a beer.......alone \n']
Wed May 27 07:21:20 PDT 2009,"['""spent the morning thinking &quot; I need an old priest and a young priest!&quot; Poor', ' pukey Nathan ""\n']"
Wed May 27 07:21:24 PDT 2009,['@itsniquey yes it was def. Intense me n @ATVWATCHME were def. Sad!! \n']
Wed May 27 07:21:25 PDT 2009,"[""@Foxy_Roxy07 i didn't have bbq  but i had cheddars  and this should be your anthem to abby http://bit.ly/AQCnO\n""]"
Wed May 27 07:21:28 PDT 2009,"['""@jlaes I managed to download the client app', ' but when I click on it', ' it just refreshes the menu screen - it won\'t actually start up ""\n']"
Wed May 27 07:21:28 PDT 2009,['#3wordsaftersex Videotape ran out.  \n']
Wed May 27 07:21:29 PDT 2009,"[""I'm thinking of writing this long idea that I had planted in my mind... still can't manage to start. \n""]"
Wed May 27 07:21:29 PDT 2009,"['""Is sat in the doctors waiting room', ' such a depressing place ""\n']"
Wed May 27 07:21:30 PDT 2009,"[""@Merzmensch sigh...that number isn't so good today \n""]"
Wed May 27 07:21:31 PDT 2009,['@easternbloc the rain in spain will fall mainly on my plane \n']
Wed May 27 07:21:34 PDT 2009,"[""@dollycharlincs It's persisting down \n""]"
Wed May 27 07:21:35 PDT 2009,['Long time no TWITTER! \n']
Wed May 27 07:21:36 PDT 2009,['finals today \n']
Wed May 27 07:21:37 PDT 2009,['@dotcomfreelance sad but true.. \n']
Wed May 27 07:22:07 PDT 2009,['writing an assignment in german. not doing well. help?  /g\n']
Wed May 27 07:22:07 PDT 2009,['Sound problems! Again... \n']
Wed May 27 07:22:07 PDT 2009,['cloudy sucky weather    gimme some sunlight...\n']
Wed May 27 07:22:09 PDT 2009,['@GaryBlueEyes I am lost. Please help me find a good home. \n']
Wed May 27 07:22:10 PDT 2009,['credit card problems + internet outages = miserable day \n']
Wed May 27 07:22:12 PDT 2009,['@patrick_stump I am more than ready! My friend &amp; I were suppose 2 c yall n houston in april but it got cancelled \n']
Wed May 27 07:22:12 PDT 2009,['Finally EXAMS overrrrrrrr... Phewwwwww... gotta go n get some rest... Too Tired with the BUSY Schedule \n']
Wed May 27 07:22:12 PDT 2009,['You Found Me is playing. Again. Damn it. I miss my friend. \n']
Wed May 27 07:22:13 PDT 2009,['I forgot a dear friends birthday.... How guilty do I feel!! \n']
Wed May 27 07:22:17 PDT 2009,['@Pcarty i saw u in chem today!! Cuz i have chem at the same time and my gooooo didnt work \n']
Wed May 27 07:22:16 PDT 2009,['@itsbriatni mee too \n']
Wed May 27 07:22:16 PDT 2009,['@lauraawade aww  aye forgot ye cant ahaha she has to follow you aswell before ye can  thats shite!\n']
Wed May 27 07:22:17 PDT 2009,['Why is everyone texting me soo early \n']
Wed May 27 07:22:18 PDT 2009,['I can not wait to do it again next year...is it next year yet???...damn  \n']
Wed May 27 07:22:19 PDT 2009,"[""I'm still so hung over from that phenagrin(is that how you spell it?) last night \n""]"
Wed May 27 07:22:22 PDT 2009,"[""I wanted to do a trial run of my An Event Apart presentation at BarCamp NYC this weekend but there's absolutely no way I'm gonna be ready \n""]"
Wed May 27 07:22:23 PDT 2009,"[""Cont &gt; i've minimal time  for maths \n""]"
Wed May 27 07:22:24 PDT 2009,"[""@lindsi Sorry I ruined your morning.  I'm just relieved that Captain Spock isn't also dating a lame Hills star.\n""]"
Wed May 27 07:22:26 PDT 2009,['@userealbutter so wish I could go to BlogHer 09  As my mom would say &quot;get a real job first&quot;...is getting a sugar daddy a real job?\n']
Wed May 27 07:22:27 PDT 2009,['riding bike....got to work off the cheesecake!  \n']
Wed May 27 07:22:27 PDT 2009,['thoughts filling my head n cant fall asleep \n']
Wed May 27 07:22:28 PDT 2009,"['""Last lunch with kristin', ' and last class with @tinaapenz so sad  xo""\n']"
Wed May 27 07:22:28 PDT 2009,"['""Ahh', ' my belly hurts ""\n']"
Wed May 27 07:22:31 PDT 2009,"['""Not very many dogs at doggie daycare today', ' so I was cut from working today  awwwwwww.""\n']"
Wed May 27 07:22:31 PDT 2009,['Cant log into regular Twitter. \n']
Wed May 27 07:22:34 PDT 2009,['@KaleaAnnai I wish it was that easy  why does one test mean so much ((\n']
Wed May 27 07:22:35 PDT 2009,"['""@lauraawade awk wee critter  i think hannah is slightly annyoed that tonie isnt replying', ' tell tonie to keep it up""\n']"
Wed May 27 07:22:37 PDT 2009,['@patriciagaw I miss you too. \n']
Wed May 27 07:22:39 PDT 2009,['Sick like a dog or should I say piggie \n']
