Date,Tweet
Tue Jun 23 07:34:38 PDT 2009,['i wake up every morning sad. \n']
Tue Jun 23 07:34:39 PDT 2009,"['""This sounds like a good match', ' I bet it looks even better! ""\n']"
Tue Jun 23 07:34:40 PDT 2009,"['""@bigdaddymerk My mum bought a house by the coast. Trouble is', ' I don\'t live on the coast and have lost a babysitter  ""\n']"
Tue Jun 23 07:34:40 PDT 2009,"['""really really busy day', ' just home voor 15 minutes and have to go in 10 ""\n']"
Tue Jun 23 07:34:46 PDT 2009,['@aplusk oo ashton u just ruined my day!! \n']
Tue Jun 23 07:34:48 PDT 2009,"['""@TheSats Paps suck  Come say hi to me', ' innit. Emotional reunion', ' go go go!""\n']"
Tue Jun 23 07:34:48 PDT 2009,['not seeing the saturdays tonight now \n']
Tue Jun 23 07:34:48 PDT 2009,"['""Still waiting for my PIN to come through', ' cant use my card till I get it ""\n']"
Tue Jun 23 07:34:50 PDT 2009,['Another £120 goes to the vet  must sort out pet insurance?  \n']
Tue Jun 23 07:34:53 PDT 2009,['wants mcsteamy! \n']
Tue Jun 23 07:34:54 PDT 2009,"[""@mcvane I'm sorry! I totally forgot. That wasn't very nice.  @avidbookreader\n""]"
Tue Jun 23 07:34:54 PDT 2009,"['""@marcus1812 I always laugh at it', ' I have a simple mind. Small things... lol. Oh cool', ' to watch what? Nothing  prob watch a bit of tele.x""\n']"
Tue Jun 23 07:34:55 PDT 2009,['Just spent 1260 round of Thunderbolt missile in one mission \n']
Tue Jun 23 07:34:55 PDT 2009,"[""@SilkPillow Is it something you learn to appreciate? I'm a bit of a Hun when it comes to that sort of thing \n""]"
Tue Jun 23 07:34:56 PDT 2009,['Getting all my ducks in a row for meeting with some City people. Checks and balances....again! \n']
Tue Jun 23 07:34:59 PDT 2009,"[""Gah!!!!!!!!!! I've been sneezing my nose off the whole day. STUPID FLU \n""]"
Tue Jun 23 07:35:00 PDT 2009,['@Rebekah_McFly awww why ?  Xxxxxxx\n']
Tue Jun 23 07:35:01 PDT 2009,"['""Good morning twitters I hope your feeling good today as for me woke up sick with bronchitis', ' no fun', ' am very tired ""\n']"
Tue Jun 23 07:35:04 PDT 2009,['@notoriousflirt lol...not today   only with myself...on the down-low. but am a little tired today...\n']
Tue Jun 23 07:35:04 PDT 2009,['Getting ready to go back to reality.. about to jump in the incredible Cabo ocean for the last time this trip.. \n']
Tue Jun 23 07:35:05 PDT 2009,"[""My navigation on my phones not workinf for me and I don't have directions down yet!  FML\n""]"
Tue Jun 23 07:35:06 PDT 2009,"[""@LilWade23 tell Davis I @ his ass! He didn't respond \n""]"
Tue Jun 23 07:35:06 PDT 2009,['@thenationalrifl how long were u guys sick for because i got sick last night around 4 and still am feeling sick \n']
Tue Jun 23 07:35:08 PDT 2009,['My ear hurts doctor later \n']
Tue Jun 23 07:35:10 PDT 2009,['in super huge over my head. back in september. \n']
Tue Jun 23 07:35:14 PDT 2009,['@iwonchii miss youu \n']
Tue Jun 23 07:35:18 PDT 2009,"[""Home again hate this weather though it's awful tbh \n""]"
Tue Jun 23 07:35:21 PDT 2009,['@eyeofthecyclone  hug?\n']
Tue Jun 23 07:35:23 PDT 2009,['good morning....I am TIIIIRED today!  Hurry up Friday!!!!!!\n']
Tue Jun 23 07:35:23 PDT 2009,"['""@CaplinROUS Yah', ' you got green ribbon. Me too but my green ribbon is less-visible on my icon but I like my icon ""\n']"
Tue Jun 23 07:35:25 PDT 2009,"[""I need to stop watching the 24 hour news channels.  It's so depressing \n""]"
Tue Jun 23 07:35:28 PDT 2009,['@w3by LOL  i wanna go see it\n']
Tue Jun 23 07:35:28 PDT 2009,['@HollyCleary Really good too!  Peachy I guess.  *laughing*  Not looking forward to another hot one!  \n']
Tue Jun 23 07:35:31 PDT 2009,"[""dying my hair back to natural color today! i'm gonna miss being a dumb blonde! at least i had an excuse for being dumb! wat bout now?! \n""]"
Tue Jun 23 07:35:32 PDT 2009,['Does Davecokin care that I tried adding him with no success?   SteelerJ_sun\n']
Tue Jun 23 07:35:33 PDT 2009,"['""Today the kids are out of school for summer', ' but when will summer  be out for the kids??  We are gonna float away from all this rain ""\n']"
Tue Jun 23 07:35:34 PDT 2009,['seritonin pills in the morning D; fuckkk summer school \n']
Tue Jun 23 07:35:35 PDT 2009,"['""@tobyjoe i know  even at Uniqlo', ' all I got was an umbrella""\n']"
Tue Jun 23 07:35:35 PDT 2009,['watching The Lion King w/ 4 children of which 2 are sick \n']
Tue Jun 23 07:35:39 PDT 2009,"[""answered help desk phone @ work and I think the guy on the other line was pissed off cause I couldn't fix the problem  not my fault!!!\n""]"
Tue Jun 23 07:35:39 PDT 2009,['Morning!! imma need this rain to go away cuz i have alot of driving around to do today \n']
Tue Jun 23 07:35:39 PDT 2009,"[""@carriejessica i want to play with tinker toys. but i'm a big boy now  maybe i should suggest it here at work!\n""]"
Tue Jun 23 07:35:40 PDT 2009,"[""it's really complicated and makes me sooooo confused \n""]"
Tue Jun 23 07:35:43 PDT 2009,"['""oh yah', ' my beloved mechanical pencil who had accompanied for years...has officially retired ""\n']"
Tue Jun 23 07:35:43 PDT 2009,['@AngieLUVsLouis John and Kate have 40 episodes already signed for. The show will still b on. But hopefully this wont b the last season. \n']
Tue Jun 23 07:35:43 PDT 2009,['@audit 5am for me every day \n']
Tue Jun 23 07:35:44 PDT 2009,"['""@TRiggs09 why is he having surgery??  he\'s had &quot;the&quot; surgery', ' right?""\n']"
Tue Jun 23 07:35:44 PDT 2009,['Working sick is never fun \n']
Tue Jun 23 07:35:46 PDT 2009,"['""(sigh) I must be getting old... I\'m starting to have to  zoom in a notch or two in Safari.  (on a happier note', ' Safari 4\'s scaling rocks!)""\n']"
Tue Jun 23 07:35:46 PDT 2009,"[""addendum to last night's blog about Mom: it was only after sedating her that the nurses got her calmed-down  \n""]"
Tue Jun 23 07:35:47 PDT 2009,"[""@Chrissyisms  us too     Thought I'd share it w/ those who are near a #DQ\n""]"
