Fri Jun 08 23:48:12 +0000 2018,"Walmart Inc $WMT Insider Sells $464,202.60 in Stock https://t.co/vRTTbvLcrF"
Fri Jun 08 23:46:11 +0000 2018,"Walmart Inc $WMT Insider Sells $464,202.60 in Stock https://t.co/f8fpnDkX8R"
Fri Jun 08 23:46:10 +0000 2018,"Jacqueline P. Canney Sells 8,005 Shares of Walmart Inc $WMT Stock https://t.co/m3BRpQeIz5"
Fri Jun 08 23:43:56 +0000 2018,"Jacqueline P. Canney Sells 8,005 Shares of Walmart Inc $WMT Stock https://t.co/bCmtJvvoeL #stocks"
Fri Jun 08 23:43:44 +0000 2018,"Walmart Inc $WMT Insider Sells $464,202.60 in Stock https://t.co/VvizOJgY1h #stocks"
Fri Jun 08 23:42:23 +0000 2018,"Jacqueline P. Canney Sells 8,005 Shares of Walmart Inc $WMT Stock https://t.co/NT362jTLJk"
Fri Jun 08 23:08:06 +0000 2018,"Walmart $WMT settled -0.7% at $84.36. The stock is really struggling, unable to re-take the 50/200dma. S/t bearish, not least if sp\'2718. FPE 16s. Y 2.5%. Not cheap, and higher rates won\'t help. NM 2.3%. overly thin.  Superior alt: $TGT @ntfri https://t.co/hhB974k3PC"
Fri Jun 08 21:46:04 +0000 2018,RT @RakutenStock: $WMT Walmart and $M Macys Bloomingdale\'s should buy stake in $RKUNY #Rakuten if they want to expand in Asia and Europe ht\\u2026
Fri Jun 08 21:28:09 +0000 2018,Investors Buy Walmart $WMT on Weakness After Insider Selling https://t.co/j7K074zzKs
Fri Jun 08 21:28:03 +0000 2018,Investors Buy Walmart $WMT on Weakness After Insider Selling https://t.co/duGIjIvZ20
Fri Jun 08 18:42:02 +0000 2018,"Walmart Inc $WMT Director S Robson Walton Sells 1,190,271 Shares of Stock https://t.co/txoJVgzmoR"
Fri Jun 08 18:41:05 +0000 2018,"Walmart Inc $WMT Director S Robson Walton Sells 1,190,271 Shares of Stock https://t.co/pg2IBN3NLN"
Fri Jun 08 18:40:32 +0000 2018,"Walmart Inc $WMT Major Shareholder Jim C. Walton Sells 592,155 Shares https://t.co/cX7Nwq6HLA"
Fri Jun 08 17:38:41 +0000 2018,"$WMT\'s top tax officer resigned mid-May and made a beeline for $AMZN. #Walmart sued over potential disclosure of confidential, non-public information. Interesting! Arguably this could happen with #DataScience, too? https://t.co/QXG4nbcHoX"
Fri Jun 08 17:26:33 +0000 2018,Walmart\\u2019s $WMT Positive Rating Reaffirmed at Susquehanna Bancshares https://t.co/Y7zaBb1wzU
Fri Jun 08 16:41:21 +0000 2018,"RT @RakutenStock: So you\\u2019ve heard of $BABA Alibaba, $AMZN Amazon $EBAY eBay$NMGC https://t.co/Nmmri640W7 $WMT Walmart Jet but have you hear\\u2026"
