Wed Jun 13 23:24:12 +0000 2018,"Walmart Inc $WMT Director Sells $92,971,098.88 in Stock https://t.co/Vb3RlI4PLe #stocks"
Wed Jun 13 23:24:11 +0000 2018,"Alice L. Walton Sells 491,120 Shares of Walmart Inc $WMT Stock https://t.co/KLgUWMg4Yt #stocks"
Wed Jun 13 23:23:49 +0000 2018,"Walmart Inc $WMT Director Sells $92,971,098.88 in Stock https://t.co/o5wnPeSXTd"
Wed Jun 13 23:22:19 +0000 2018,"Walmart Inc $WMT Director Sells $92,971,098.88 in Stock https://t.co/vH00X4MXt3"
Wed Jun 13 23:21:52 +0000 2018,"Walmart Inc $WMT Director Sells $92,971,098.88 in Stock https://t.co/qs971400nM"
Wed Jun 13 23:21:09 +0000 2018,"Alice L. Walton Sells 491,120 Shares of Walmart Inc $WMT Stock https://t.co/NWkvRB0O8y"
Wed Jun 13 23:20:53 +0000 2018,"Alice L. Walton Sells 491,120 Shares of Walmart Inc $WMT Stock https://t.co/7Gg7Wv8K7I"
Wed Jun 13 19:52:27 +0000 2018,Walmart $WMT PT Set at $93.00 by Morgan Stanley https://t.co/hjWT6XQMpH #stocks
Wed Jun 13 19:11:12 +0000 2018,Comparing Dollar General $DG and Walmart $WMT https://t.co/ioNcrBF3W4
Wed Jun 13 19:08:44 +0000 2018,Dollar General $DG &amp; Walmart $WMT Head-To-Head Analysis https://t.co/g3EQabpvkX
Wed Jun 13 16:28:29 +0000 2018,Comparing Dollar General $DG and Walmart $WMT https://t.co/QEdPspML0N
Wed Jun 13 16:26:11 +0000 2018,Exclusive: Walmart Brazil ops bidders peg unit&amp;#39;s back taxes at up to $3 ... https://t.co/mCtNWjg34s $WMT #stocks #stockmarket
Wed Jun 13 15:20:32 +0000 2018,Brokers Offer Predictions for Walmart Inc\\u2019s Q2 2019 Earnings $WMT https://t.co/JAiozHP3uS
Wed Jun 13 14:53:43 +0000 2018,RT @AnalyticsAtom: $RKUNY Rakuten\\u00a0is being seen as a potential takeover target.\\u00a0$WMT Walmart Inc. may be interested mused Amir Anvarzadeh o\\u2026
Wed Jun 13 14:53:33 +0000 2018,RT @AnalyticsAtom: $WMT Walmart could purchase stake in eCommerce giant  $RKUNY #Rakuten which owns #viber #Pinterest #ott #ecommerce #Lyft\\u2026
Wed Jun 13 14:32:47 +0000 2018,RT @AnalyticsAtom: $RKUNY Rakuten\\u00a0is being seen as a potential takeover target.\\u00a0$WMT Walmart Inc. may be interested mused Amir Anvarzadeh o\\u2026
Wed Jun 13 14:32:37 +0000 2018,$WMT Walmart could purchase stake in eCommerce giant  $RKUNY #Rakuten which owns #viber #Pinterest #ott #ecommerce #Lyft #Cabify #kareem #ebates #RakutenTV https://t.co/Vdd9gUwdKf PT $25 much more upside in $RKUNY than $FB $AMZN $AAPL $BABA $CHTR $FOX $TWX $T $NFLX $GOOG https://t.co/iVRB7WxmsX
Wed Jun 13 14:22:37 +0000 2018,Walmart $WMT PT Set at $93.00 by Morgan Stanley https://t.co/zkxp53smcQ
Wed Jun 13 14:20:32 +0000 2018,Walmart $WMT PT Set at $93.00 by Morgan Stanley https://t.co/4VxWYt8eIe
Wed Jun 13 13:07:24 +0000 2018,RT @revniggadaddy: $MGI (Moneygram) now $7.20. For all mah Niggaz Slangin Stocks. They just signed a big deal with Walmart $WMT recently. A\\u2026
Wed Jun 13 13:06:46 +0000 2018,$MGI (Moneygram) now $7.20. For all mah Niggaz Slangin Stocks. They just signed a big deal with Walmart $WMT recently. And Immigrants go to Walmart to send money like krazy. Git U Sum. Hold 18 months at least. Start wit $100 keep adding to it....
Wed Jun 13 12:15:05 +0000 2018,$WMT looking ahead - \\
Wed Jun 13 11:47:40 +0000 2018,Northcoast Research Lowers Walmart Q2 2019 Earnings Estimates to $1.11 EPS (Previously $1.19). https://t.co/tf5AY0QN5d $WMT #WMT
Wed Jun 13 11:46:55 +0000 2018,Brokers Offer Predictions for Walmart Inc\\u2019s Q2 2019 Earnings $WMT https://t.co/llHsftdNTK
Wed Jun 13 11:46:54 +0000 2018,Brokers Offer Predictions for Walmart Inc\\u2019s Q2 2019 Earnings $WMT https://t.co/yqkjwQnhhi #stocks
Wed Jun 13 11:16:26 +0000 2018,Analyzing Walmart $WMT and PriceSmart $PSMT https://t.co/tPkv75MHrH
Wed Jun 13 11:10:56 +0000 2018,"Alice L. Walton Sells 1,499,270 Shares of Walmart Inc $WMT Stock https://t.co/aKPhwkWgAa"
