Tue Jun 19 23:29:04 +0000 2018,"Insider Selling: Walmart Inc $WMT Director Sells 760,377 Shares of Stock https://t.co/SeOnoxJgzQ"
Tue Jun 19 23:28:35 +0000 2018,"Walmart Inc $WMT Director Sells $63,339,404.10 in Stock https://t.co/Br6v2NBE1u"
Tue Jun 19 23:27:31 +0000 2018,"RT @bthau: After Its Own Mini Format Flopped, Walmart Gives Small Stores Another Try Via New Sam\'s Club Concept via @forbes #warehouseclubs\\u2026"
Tue Jun 19 23:27:21 +0000 2018,"Insider Selling: Walmart Inc $WMT Major Shareholder Sells 510,893 Shares of Stock https://t.co/nKuwXP33ph"
Tue Jun 19 23:26:47 +0000 2018,"Alice L. Walton Sells 510,893 Shares of Walmart Inc $WMT Stock https://t.co/2bRwP0RJ3D"
Tue Jun 19 23:24:33 +0000 2018,"Insider Selling: Walmart Inc $WMT Director Sells 760,377 Shares of Stock https://t.co/p2iUh9ee7u"
Tue Jun 19 22:52:46 +0000 2018,"After Its Own Mini Format Flopped, Walmart Gives Small Stores Another Try Via New Sam\'s Club Concept via @forbes #warehouseclubs $WMT #retail @samsclub https://t.co/GbjqKboeeW"
Tue Jun 19 21:30:38 +0000 2018,Critical Survey: Costco Wholesale $COST versus Walmart $WMT https://t.co/TPBsz2fBrp
Tue Jun 19 18:41:17 +0000 2018,Authorities: 3 dead in shooting outside a Walmart in Alabama $WMT #WMT #Shootings #Violentcrime #Crime https://t.co/4darfENpzb
Tue Jun 19 18:41:11 +0000 2018,Authorities: 3 dead in shooting outside a Walmart in Alabama $WMT #WMT #Shootings #Violentcrime #Crime https://t.co/mP2YnlyWdK
Tue Jun 19 18:25:07 +0000 2018,Today\'s healthcare players are not only hospitals and pharma. #digitalhealth \\u201cWalmart Health: A Deep Dive into the $WMT Corporate Strategy in Health Care\\u201d by @nxpatel https://t.co/dPIIa7TDwW
Tue Jun 19 16:58:46 +0000 2018,3 dead after shooting outside Walmart in Alabama $WMT #WMT #Shootings #Violentcrime #Crime https://t.co/cjKCOLiked
Tue Jun 19 16:58:42 +0000 2018,3 dead after shooting outside Walmart in Alabama $WMT #WMT #Shootings #Violentcrime #Crime https://t.co/94IeMMCpap
Tue Jun 19 14:25:53 +0000 2018,RT @ReutersBiz: EXCLUSIVE: Microsoft is building tech to rival Amazon that would eliminate checkout lines from retail stores; collaboration\\u2026
Tue Jun 19 13:58:00 +0000 2018,"Google places a $550 Million Bet on China\'s second-largest E-Commerce Player\\n#Alphabet, $NASDAQ, $GOOGL, #invest, #ecommerce, $JD, #Strategy, #Partnership, #Technology, #retailers, #shopping, #RichardLiu, #consumers, #smartphones, #Walmart, $WMT, https://t.co/mROhhupKz8"
Tue Jun 19 13:40:15 +0000 2018,"Stocks Getting Far Too Much Hype: The Stars Group Inc. (TSG), Walmart Inc. (WMT) https://t.co/BiYxa4lRau $WMT #stocks #stockmarket"
Tue Jun 19 12:50:14 +0000 2018,Should You Invest in Walmart Inc. (WMT)? A Look at the Insider Trends https://t.co/NTTRTkjH89 $WMT #stocks #stockmarket
Tue Jun 19 12:46:18 +0000 2018,"Man charged with making $1.3 million in fraudulent returns to #Walmart\\nGiving me a vibe to take a look at $WMT\\n  ( closed @ 83 ),,,that\'s  been taking a beating this past year\\n https://t.co/WKJDKXXwcK"
Tue Jun 19 06:59:58 +0000 2018,RT @AnalyticsGold: Microsoft in discussion with Walmart to develop \'cashierless\' checkouts\\n#automation #ai #cashless #cashierless $amzn $ms\\u2026
Tue Jun 19 05:12:29 +0000 2018,RT @ddrrnt: Retail Robots: $WMT aerial drones to provide customers w/ \\
Tue Jun 19 04:46:07 +0000 2018,#Walmart plans hybrid #store https://t.co/afGZ7g4RZZ #grocers #tech #shopping #consumer $wmt #retail https://t.co/rKVsodxZMB
Tue Jun 19 03:26:30 +0000 2018,Five Below $FIVE &amp; Walmart $WMT Head-To-Head Analysis https://t.co/nnjTsaBWRx
Tue Jun 19 03:14:40 +0000 2018,That\'s not the metaphor you\'re looking for. $WMT https://t.co/HkX3K9uZzl via @business
Tue Jun 19 00:51:20 +0000 2018,Weekly Research Analysts\\u2019 Ratings Updates for Walmart $WMT https://t.co/Cx1htFpnSX
Tue Jun 19 00:49:53 +0000 2018,Weekly Research Analysts\\u2019 Ratings Updates for Walmart $WMT https://t.co/I16RVG9fZn
Tue Jun 19 22:02:22 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 21:48:50 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 21:45:55 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 21:06:49 +0000 2018,"Cisco Systems, Inc. $CSCO Receives Consensus Rating of \\u201cBuy\\u201d from Analysts https://t.co/VCxlgsQVEy"
Tue Jun 19 21:03:57 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 21:02:59 +0000 2018,"Cisco Systems, Inc. $CSCO Receives Consensus Rating of \\u201cBuy\\u201d from Analysts https://t.co/4OgNK0e8Fq"
Tue Jun 19 20:51:37 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 20:39:57 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 20:09:06 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 19:55:28 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 19:23:22 +0000 2018,$CSCO https://t.co/ZTIcvYqTx7 Pot. cont. Uptrend LONGERTERM Wly-Dly-Hly combo chart #Cisco #Stocks https://t.co/oc25K3zDsf
Tue Jun 19 18:25:59 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 17:01:23 +0000 2018,$CSCO Backtested and it\\u2019s goood \\ud83d\\udc4dI think I might get rich. #daytrader #Cisco #stocktrading #bullish via @StockMetrixApp https://t.co/jvym2OAm4Z
Tue Jun 19 16:21:55 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 16:04:33 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 15:26:23 +0000 2018,RT @CRN: Third Day Recap From @CiscoLive: Technology Partners React From Show Floor https://t.co/v3KIzLAHKB #CiscoLive #CiscoDNA $CSCO
Tue Jun 19 14:11:53 +0000 2018,"This is what analysts have to say about Cisco Systems, Inc. $CSCO after last week. - https://t.co/LktsHp8X9J"
Tue Jun 19 14:07:58 +0000 2018,"Can analysts adopt a bullish outlook for Cisco Systems, Inc. $CSCO? https://t.co/1mktGXE2Lv"
Tue Jun 19 14:07:26 +0000 2018,"Can analysts adopt a bullish outlook for Cisco Systems, Inc. $CSCO? https://t.co/A0SNd8Fmvg"
Tue Jun 19 14:05:58 +0000 2018,"Analysts take a look at Cisco Systems, Inc. $CSCO having this to say. https://t.co/JP2wwMULrP"
Tue Jun 19 12:51:53 +0000 2018,Calamos Wealth Management LLC Position in Cisco Systems INC $CSCO Has Lowered as Share Value Declined - https://t.co/HTrkfe1AKN
Tue Jun 19 12:49:22 +0000 2018,Calamos Wealth Management LLC Cut Its Holding in Cisco Systems INC $CSCO as Shares Declined https://t.co/lb7z7g5rmP
Tue Jun 19 12:49:15 +0000 2018,Menlo Advisors Decreased Position in Cisco Systems $CSCO by $1.01 Million as Market Value Declined; International Paper $IP Shareholder Wedbush Securities Decreased Holding - https://t.co/rblS1GrjKm
Tue Jun 19 12:48:54 +0000 2018,"As Cisco Systems INC $CSCO Stock Price Declined, Calamos Wealth Management LLC Trimmed Its Holding by $6.33 Million https://t.co/515k75LFkQ"
Tue Jun 19 12:47:46 +0000 2018,Cisco Systems INC $CSCO Holder Calamos Wealth Management LLC Cut Its Stake https://t.co/diH7h2TiVS
Tue Jun 19 01:13:36 +0000 2018,$CSCO https://t.co/ZTIcvYqTx7 Pot. cont. Uptrend INTRAWEEK 60m-15m-4m combo chart #Cisco #Trading https://t.co/Z0s6nhSHcd
Tue Jun 19 08:37:06 +0000 2018,"AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.co/abABIhgIXo by @LARichwine $T https://t.co/xWXsJEbfc8"
Tue Jun 19 23:42:19 +0000 2018,#Futures open up flat to slight green. But nothing worth looking at until we see Asia open. Asia looks a slight red. Currently holding $T $SVXY 14c $HMNY \\nMade #money today in a down market.\\n#trading #stocks #investing #tariffs #Trump #options
Tue Jun 19 23:11:24 +0000 2018,RT @Reg_AResearch: Exclusive: AT&amp;T Eyes Its Next Acquisition - AppNexus https://t.co/UDf7v1CKyX $T @AppNexus
Tue Jun 19 23:09:40 +0000 2018,Exclusive: AT&amp;T Eyes Its Next Acquisition - AppNexus https://t.co/UDf7v1CKyX $T @AppNexus
Tue Jun 19 22:59:47 +0000 2018,RT @theflynews: #BREAKING: AT&amp;T in discussions to purchase AppNexus: https://t.co/rgvz9L0eyC $T $GOOG $FB
Tue Jun 19 22:51:41 +0000 2018,RT @MarketCurrents: Cheddar: AT&amp;T in talks to acquire ad-tech firm AppNexus https://t.co/IoMPEDLquv $T $FB $GOOG $GOOGL
Tue Jun 19 22:46:49 +0000 2018,RT @theflynews: #BREAKING: AT&amp;T in discussions to purchase AppNexus: https://t.co/rgvz9L0eyC $T $GOOG $FB
Tue Jun 19 22:43:48 +0000 2018,RT @theflynews: #BREAKING: AT&amp;T in discussions to purchase AppNexus: https://t.co/rgvz9L0eyC $T $GOOG $FB
Tue Jun 19 22:42:00 +0000 2018,"@Buffett15 @HighLimit Agree, +6% yield has held historically. AT&amp;T $T is a dividend aristocrat. They didn\\u2019t even cut it during 2008 crisis."
Tue Jun 19 22:37:51 +0000 2018,"Oh, but $VZ is changing the world with its purchases of broken Internet companies $T $CMCSA $DIS $FOX $CBS $CHTR $DISH -- AT&amp;T in talks to buy ad tech company AppNexus, report says https://t.co/iYRbJ9ZzUj"
Tue Jun 19 22:29:15 +0000 2018,RT @theflynews: #BREAKING: AT&amp;T in discussions to purchase AppNexus: https://t.co/rgvz9L0eyC $T $GOOG $FB
Tue Jun 19 22:29:14 +0000 2018,#BREAKING: AT&amp;T in discussions to purchase AppNexus: https://t.co/rgvz9L0eyC $T $GOOG $FB
Tue Jun 19 22:28:36 +0000 2018,$T $FB $GOOG $GOOGL Cheddar: AT&amp;T in talks to acquire ad-tech firm AppNexus https://t.co/R3ER5i2mvb
Tue Jun 19 22:19:56 +0000 2018,Cheddar: AT&amp;T in talks to acquire ad-tech firm AppNexus https://t.co/CXzMZnByST $T $FB $GOOG $GOOGL
Tue Jun 19 22:19:55 +0000 2018,Cheddar: AT&amp;T in talks to acquire ad-tech firm AppNexus https://t.co/IoMPEDLquv $T $FB $GOOG $GOOGL
Tue Jun 19 21:42:20 +0000 2018,"Opportunity Calls for AT&amp;T, Verizon: $T $VZ https://t.co/jFikURy8fW"
Tue Jun 19 21:19:36 +0000 2018,"$T Verizon, AT&amp;T to end location data sales to brokers https://t.co/eHLpVRwsII"
Tue Jun 19 21:03:11 +0000 2018,$T 1.2m ago: SEC Amended Beneficial Ownership Report -&gt; SC 13D/A - AT&amp;T INC. https://t.co/j2QBYjiIQy
Tue Jun 19 21:00:32 +0000 2018,FCC Ruling on 5G Infrastructure May Hurt Cities https://t.co/3Gh4oxENR6\\nA compelling viewpoint on why the legislation that is pushed at the state level by $T with its lobbyists and millions of dollars of influence is detrimental to local goals and local needs.\\n#5G #telecom #fiber https://t.co/sUFuoEDJKR
Tue Jun 19 20:45:11 +0000 2018,What does the merger of AT&amp;T and Time Warner tell us about the media industry now and the M&amp;A outlook in general? See our blog for the latest: https://t.co/ngFN5QMdde $T $TWX https://t.co/AqkkOmOh9g
Tue Jun 19 19:46:23 +0000 2018,AT&amp;T\'s Re-Shaping https://t.co/Zfk1WQKhyV #attshape $T https://t.co/HxrVQBeon8
Tue Jun 19 19:41:31 +0000 2018,$NFLX bulls: forget the short run excitement. $T and $TWX deal is a REAL threat. Time Warner has the BEST content on earth (along with $DIS) and AT&amp;T has more than 170 millions subscribers.
Tue Jun 19 19:29:23 +0000 2018,AT&amp;T Merger Makes Telecoms Attractive $T $TWX $CTL $FTR  $GLP  $GOOG  $AAPL $DIS $CMCSA #Media #mediamerger \\n#Mergers #telecom #telecoms #stocks        https://t.co/7voMa23ypx
Tue Jun 19 19:14:02 +0000 2018,Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend Yield? $T https://t.co/UfA1qt4xqh #dividend #investing https://t.co/0uIatQACDh
Tue Jun 19 19:00:06 +0000 2018,RT @theflynews: REPORT: AT&amp;T to end sale of user location data to third-party brokers: https://t.co/OvuHU4M51L $T $VZ
Tue Jun 19 18:54:06 +0000 2018,RT @theflynews: REPORT: AT&amp;T to end sale of user location data to third-party brokers: https://t.co/OvuHU4M51L $T $VZ
Tue Jun 19 18:42:47 +0000 2018,RT @theflynews: REPORT: AT&amp;T to end sale of user location data to third-party brokers: https://t.co/OvuHU4M51L $T $VZ
Tue Jun 19 18:42:45 +0000 2018,REPORT: AT&amp;T to end sale of user location data to third-party brokers: https://t.co/OvuHU4M51L $T $VZ
Tue Jun 19 18:13:39 +0000 2018,AT&amp;T also pledges to cut off sales of user location data https://t.co/0z5cYjCH4o $T $VZ
Tue Jun 19 18:03:07 +0000 2018,"I am on the bike now at the gym, watching the market. And some #worldcup at same time. Still holding my $NVDA 260c and $SVXY 14c and $T\\nToday my account is not even down. Beautiful trade day. Hang in there. #trading #stocks #money #Tariffs $vix"
Tue Jun 19 17:52:26 +0000 2018,AT&amp;T Inc.: Heavy volume for AT&amp;T stock. $T https://t.co/fhHBWm188K https://t.co/sJgj7AYk5g
Tue Jun 19 17:42:24 +0000 2018,AT&amp;T Inc.: Heavy volume for AT&amp;T stock. $T https://t.co/fhHBWm188K https://t.co/5Kfh5T9uIz
Tue Jun 19 17:39:04 +0000 2018,Analysts don\'t expect any impact of the deal until at least 2020 $T https://t.co/8tIhgelGn7
Tue Jun 19 17:33:51 +0000 2018,AT&amp;T also pledges to cut off sales of user location data $T $VZ \\ud83d\\udc4f\\ud83c\\udffd\\ud83d\\udc4f\\ud83c\\udffd https://t.co/bYVwuNX1Xt
Tue Jun 19 17:31:59 +0000 2018,"As At&amp;T $T Stock Price Declined, Shareholder Union Bankshares Has Trimmed Its Stake; Bahl &amp; Gaynor Has Increased Its Constellation Brands $STZ Stake by $484,418; Stock Price Declined - https://t.co/1Jb9nBXTxK"
Tue Jun 19 17:28:15 +0000 2018,AT&amp;T also pledges to cut off sales of user location data https://t.co/yMMOVbf1DT $T $VZ
Tue Jun 19 17:28:14 +0000 2018,AT&amp;T also pledges to cut off sales of user location data https://t.co/epfkP94dGE $T $VZ
Tue Jun 19 17:12:27 +0000 2018,AT&amp;T Inc.: Heavy volume for AT&amp;T stock. $T https://t.co/fhHBWm188K https://t.co/vRBi3jLQ1m
Tue Jun 19 16:23:53 +0000 2018,"$FB $STT $T $VZ $VZA New \'spider\' ETF captures Facebook, AT&amp;T in its web https://t.co/2NL0iQLTNF"
Tue Jun 19 16:23:43 +0000 2018,"$T $TIME $TWX AT&amp;T promises fewer ads, tailored programming after merger with Time Warner https://t.co/UfC9gBR2Sr"
Tue Jun 19 16:21:03 +0000 2018,$T 208 July 20 call 85 at $15.25 askside - $317k bet with 282 OI #sweep\\n\\n@CBOE @Nasdaq @NYSE @WSJ @nytimes @OptionsAction #optionstrading #investing #stocks $AAPL $MU $FB
Tue Jun 19 16:10:43 +0000 2018,"The top five most active stocks at noon today are $AMD, $T, $GE, $BAC. and $TWTR."
Tue Jun 19 16:08:39 +0000 2018,"AT&amp;T\'s Acquisition Of Time Warner \'Compelling,\' But Will Take Time To Show Results\\n\\n$T $TWX\\n\\n  https://t.co/Wf4yHsGory"
Tue Jun 19 15:52:21 +0000 2018,AT&amp;T Inc.: Heavy volume for AT&amp;T stock. $T https://t.co/fhHBWm188K https://t.co/u9I1ZvcX3v
Tue Jun 19 15:50:30 +0000 2018,"RT @Benzinga: AT&amp;T\'s Acquisition Of Time Warner \'Compelling,\' But Will Take Time To Show Results https://t.co/bOQPHGYXCt $T $TWX"
Tue Jun 19 15:50:01 +0000 2018,"RT @Benzinga: AT&amp;T\'s Acquisition Of Time Warner \'Compelling,\' But Will Take Time To Show Results https://t.co/bOQPHGYXCt $T $TWX"
Tue Jun 19 15:50:00 +0000 2018,"AT&amp;T\'s Acquisition Of Time Warner \'Compelling,\' But Will Take Time To Show Results https://t.co/bOQPHGYXCt $T $TWX"
Tue Jun 19 15:32:19 +0000 2018,"RT @BWilliLiou: First, $WMT goes for Flipkart. Now, it\'s teaming up with $HUM in a pilot program to offer senior-case services in KC. Leeri\\u2026"
Tue Jun 19 15:30:49 +0000 2018,"As At&amp;T $T Shares Declined, New Jersey Better Educational Savings Trust Has Increased Holding; As Dorchester Minerals LP $DMLP Stock Rose, Holder Sanctuary Wealth Advisors Has Cut Its Position by $2.77 Million - https://t.co/L50Nhq5tVV"
Tue Jun 19 15:28:23 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 15:14:08 +0000 2018,Jeff Kagan: What\\u2019s Next for the New AT&amp;T After Time Warner by @equitiesinc \\n @jeffkagan $T \\nhttps://t.co/V4FJP1hCXO
Tue Jun 19 14:53:56 +0000 2018,I agree. $T is everybody\'s punching bag. Trading at &lt;10x EPS and a 6% yield is a bit overdone. $T stock should be 10% higher at the minimum. https://t.co/owcwwai96S
Tue Jun 19 14:52:35 +0000 2018,AT&amp;T Inc.: Historical volume for AT&amp;T stock. $T https://t.co/fhHBWm188K https://t.co/CxsDRhasL5
Tue Jun 19 14:33:25 +0000 2018,Hamlin Capital Management LLC Holding in At&amp;T INC $T Boosted as Share Value Declined - https://t.co/yRPxqlxnps
Tue Jun 19 14:29:45 +0000 2018,At&amp;T INC $T Holder Hamlin Capital Management LLC Has Increased Its Holding by $105.82 Million https://t.co/5nCR02jLnp
Tue Jun 19 14:29:14 +0000 2018,"As At&amp;T INC $T Market Value Declined, Shareholder Hamlin Capital Management LLC Upped Stake https://t.co/nzk0T8JwXn"
Tue Jun 19 14:27:33 +0000 2018,Hamlin Capital Management LLC Increased Position in At&amp;T INC $T as Stock Price Declined https://t.co/4eZNxT2nvV
Tue Jun 19 14:24:51 +0000 2018,"First, $WMT goes for Flipkart. Now, it\'s teaming up with $HUM in a pilot program to offer senior-case services in KC. Leerink says that douses $WMT - $HUM deal spec.\\nEnter this leap from @bopinion\'s @MaxNisen: After the $T ruling, how about $HUM - $ANTM?   https://t.co/NWEhyZypAL https://t.co/efpqy7ySdM"
Tue Jun 19 14:14:42 +0000 2018,RT @carlquintanilla: JPMorgan cuts AT&amp;T to neutral on \\
Tue Jun 19 14:12:58 +0000 2018,10/@cnbc @bloombergradio will give u sheet to swallow u can blame others not the #truth. welcome to the game millennials #babyboomers gave us gifts but allowed #FFT to rape us at night while they covered thier ears or turned up the music. LETS FIGHT BACK. @Vanguard_Group $AAPL $T https://t.co/UfxwAUIGnT
Tue Jun 19 14:08:26 +0000 2018,shares of $T are holding very strong here at 32.40. the #dividend is just too good. people will run to this stock in times like this. It is undervalued as well. This is an easy long play. #trading #stocks #money #income #investing #options #tariffs
Tue Jun 19 14:01:06 +0000 2018,"#Dow tumbles -350 points, wiping out gain for year, as #Trump directs more #tariffs at #China $tlt $ief $tyx $tnx $vnq $icf $xlu $t $vz $spy $spx $dia $qqq $ixic $iwm $iwm $btc $gdx $gld https://t.co/dmD6QGjNHW"
Tue Jun 19 13:54:12 +0000 2018,AT&amp;T Inc.: Unusual volume for AT&amp;T stock. $T https://t.co/fhHBWm188K https://t.co/ByvTQ45mKr
Tue Jun 19 13:51:23 +0000 2018,$T $VZ Best time to buy both Verizon and AT&amp;T. Laggards will catch up in H2. I own both.
Tue Jun 19 13:48:47 +0000 2018,"RT @Reuters: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
Tue Jun 19 13:28:23 +0000 2018,RT @CabotAnalysts: AT&amp;T (T) vs. Verizon (VZ): Which Is the Best Telecom Stock? https://t.co/vKn9ghBE8x $T $VZ #investing @ChloeAtCabot http\\u2026
Tue Jun 19 13:26:36 +0000 2018,RT @CabotAnalysts: AT&amp;T (T) vs. Verizon (VZ): Which Is the Best Telecom Stock? https://t.co/vKn9ghBE8x $T $VZ #investing @ChloeAtCabot http\\u2026
Tue Jun 19 13:24:07 +0000 2018,AT&amp;T (T) vs. Verizon (VZ): Which Is the Best Telecom Stock? https://t.co/vKn9ghBE8x $T $VZ #investing @ChloeAtCabot https://t.co/8lekFFZ8Wa
Tue Jun 19 13:14:01 +0000 2018,RT @carlquintanilla: JPMorgan cuts AT&amp;T to neutral on \\
Tue Jun 19 13:08:38 +0000 2018,$T 7.6m ago: AT&amp;T Hello Lab Reprises Inclusive Filmmaker Mentorship Program; Emmy\\u00ae Award Winner Lena Waithe Joins Common and More https://t.co/r8JPkWT51t
Tue Jun 19 13:03:48 +0000 2018,"RT @Reuters: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
Tue Jun 19 12:56:14 +0000 2018,RT @What_what_mtl: $T today JP Morgan analyst stated that it\\u2019s possible that the shares of AT&amp;T will rebound relatively quickly once the de\\u2026
Tue Jun 19 12:55:02 +0000 2018,RT @PassedPawnAdv: AT&amp;T now owns Time Warner. So how does that change the #media landscape? We\'ve updated our chart - here\\u2019s who owns everything in Big Media today. https://t.co/CBpaQMArEQ $T #investing https://t.co/TYSGLZrLRF
Tue Jun 19 12:54:41 +0000 2018,$T today JP Morgan analyst stated that it\\u2019s possible that the shares of AT&amp;T will rebound relatively quickly once the deal drama dies down.
Tue Jun 19 12:54:19 +0000 2018,"RT @Reuters: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
Tue Jun 19 12:47:36 +0000 2018,"RT @Reuters: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
Tue Jun 19 12:47:33 +0000 2018,"RT @Reuters: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
Tue Jun 19 12:44:39 +0000 2018,"RT @Reuters: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
Tue Jun 19 12:44:19 +0000 2018,"RT @Reuters: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
Tue Jun 19 12:44:18 +0000 2018,"RT @Reuters: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
Tue Jun 19 12:42:30 +0000 2018,"RT @Reuters: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
Tue Jun 19 12:42:22 +0000 2018,"RT @Reuters: AT&amp;T promises fewer ads, tailored programing after merger https://t.co/FmB0CEl0Bn by @LARichwine $T https://t.co/ctYE1s33zg"
