Date,Tweet,Country
Tue Apr 30 23:59:59 +0000 2019,"b'@TristaBytes @ashens Now we know why Robotnik was so eager to get rid of Sonic, to prevent this.'","Washington, DC"
Tue Apr 30 23:59:59 +0000 2019,b'@502eire @loueyville That is so wrong. I went to battle with a New York client last year for about seven months. Bullshit.',"Louisville, KY"
Tue Apr 30 23:59:59 +0000 2019,b'T-Rex\xe2\x80\x99s gotta do what \xf0\x9f\xa6\x96 gotta do #playislearning #stlouissciencecenter #roadtrip #whoworeitbetter @ Saint Louis Sci\xe2\x80\xa6 https://t.co/ozILpzVF16',"St Louis, MO"
Tue Apr 30 23:59:59 +0000 2019,b'Yup ! https://t.co/9kXnh6lwGn',"Miami Lakes, FL"
Tue Apr 30 23:59:59 +0000 2019,"b""@n_gaged @AmbJohnBolton I don't believe that, 1st of all our Pres is a Billionaire &amp; the Mueller Team couldn't get him for anything.""","Sacramento, CA"
Tue Apr 30 23:59:59 +0000 2019,b'I use boozhee \xf0\x9f\xa4\x97 https://t.co/dXlBrcjbaF',"Sacramento, CA"
Tue Apr 30 23:59:59 +0000 2019,"b'BREAKING: 2 dead, 4 injured after shooting at University of North Carolina- Charlotte. Police have one suspect in c\xe2\x80\xa6 https://t.co/abv899GhhP'","Orlando, FL"
Tue Apr 30 23:59:59 +0000 2019,b'There is a super weird cult-like following for The Office',"Alpine, UT"
Tue Apr 30 23:59:59 +0000 2019,b'@BritneyKale I\xe2\x80\x99m down. I need some new tats. The beach sound heavenly.',"Murfreesboro, TN"
Tue Apr 30 23:59:59 +0000 2019,"b'Wind 2.0 mph E. Barometer 30.131 in, Falling. Temperature 52.8 \xc2\xb0F. Rain today 0.20 in. Humidity 93%'","Wapakoneta, OH"
Tue Apr 30 23:59:59 +0000 2019,b'that live action avatar movie was horrible.',"Delaware, USA"
Tue Apr 30 23:59:58 +0000 2019,b'Idk you but stay free it\xe2\x80\x99s the only way to be !!!! https://t.co/tx3UpoTYAU',"Houston, TX"
Tue Apr 30 23:59:58 +0000 2019,b'wow this looks straight up bonkers and I need it.\xe2\x98\xa0\xef\xb8\x8f\xf0\x9f\x92\x80 https://t.co/plVh57NGXW',"Waterford, NY"
Tue Apr 30 23:59:58 +0000 2019,b'@Fearghal_Kelly @AmeliaRenee @emschumacher Jobes in Esther is equally ridiculous. I read it after @timkellernyc quo\xe2\x80\xa6 https://t.co/5c7lPQ4qlW',"Cambridge, MA"
Tue Apr 30 23:59:58 +0000 2019,"b'@mmunozesp la neta, si'","Austin, TX"
Tue Apr 30 23:59:58 +0000 2019,"b'This job is now open at Boston Market in #Fresno, CA. Follow us and turn on mobile alerts to hear about jobs like t\xe2\x80\xa6 https://t.co/EK5EBPAa0L'","Fresno, CA"
Tue Apr 30 23:59:58 +0000 2019,b'I don\xe2\x80\x99t like to cry abuse but I was emotionally abused by another woman at 17. I loved this woman and thought her g\xe2\x80\xa6 https://t.co/epaHp5S2NR',"Champaign, IL"
Tue Apr 30 23:59:58 +0000 2019,b'Welcome home @brendonurie! The @PanicAtTheDisco frontman received the keys to the #Vegas Strip! Here\xe2\x80\x99s what he had\xe2\x80\xa6 https://t.co/0eXPzFM5Gv',MGM Grand Garden Arena
Tue Apr 30 23:59:58 +0000 2019,"b'@realDonaldTrump Close it, tight!!!!'","Costa Mesa, CA"
Tue Apr 30 23:59:58 +0000 2019,b'It\xe2\x80\x99s all passin me by .',"Orange, CA"
Tue Apr 30 23:59:58 +0000 2019,b'It was one of those days... but we\xe2\x80\x99re just about ready for prom on Friday! Seating chart and bus lists are done \xe2\x9c\x85 a\xe2\x80\xa6 https://t.co/rsf6FW48pj',Uxbridge High School
Tue Apr 30 23:59:58 +0000 2019,b'Get em @Bryce_Kennon02! https://t.co/ZXN5FL0uqz',"Charlotte, NC"
Tue Apr 30 23:59:58 +0000 2019,b'@RexChapman Actually thought it was a charge at the time.',"Bellevue, WA"
Tue Apr 30 23:59:58 +0000 2019,b'@KayyyKeeee On god \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',"Jackson, MS"
Tue Apr 30 23:59:57 +0000 2019,"b'#homeownership  #faultyelectricalwiring @ Suffolk County, New York https://t.co/yj0w6bQkYt'","New York, USA"
Tue Apr 30 23:59:57 +0000 2019,b'Is there anyway I can stop my period so it doesn\xe2\x80\x99t come the day before prom?',"Garland, TX"
Tue Apr 30 23:59:57 +0000 2019,b'Mood. https://t.co/AeyCFAJulp',"South Miami, FL"
Tue Apr 30 23:59:57 +0000 2019,b'@KulickOfficial https://t.co/jR8iQkV5rB',Baltimore Soundstage
Tue Apr 30 23:59:57 +0000 2019,b'@ShibaRussell Lol why not school food is nasty!! Get some healthy choices up in the cafeteria https://t.co/NMnvmZrWBa',"Los Angeles, CA"
Tue Apr 30 23:59:57 +0000 2019,"b'Client contact walks in: \xe2\x80\x9cI hear you\xe2\x80\x99re xyz\xe2\x80\x99s daughter in law, guess you didn\xe2\x80\x99t marry the son studying to be a priest\xe2\x80\x9d Me: \xe2\x80\x9cNo I did\xe2\x80\x9d.'","Phoenix, AZ"
Tue Apr 30 23:59:57 +0000 2019,b'ok her ass is phat but how thicc is her love for the environment?',"San Francisco, CA"
Tue Apr 30 23:59:57 +0000 2019,b'\xf0\x9f\x96\xa4 https://t.co/BkJ3r0jM6i',"Ortíz, Puerto Rico"
Tue Apr 30 23:59:57 +0000 2019,b'10 Months = Assertive x Flirty x Bratty x Comical x Loving..&amp; I could go on! I swear JJ shows us something differen\xe2\x80\xa6 https://t.co/6DcweLmLKM',"Myrtle Beach, SC"
Tue Apr 30 23:59:57 +0000 2019,"b'Wind 1.0 mph S. Barometer 30.046 in, Falling slowly. Temperature 77.8 \xc2\xb0F. Rain today 0.00 in. Humidity 65%'","La Grange, KY"
Tue Apr 30 23:59:57 +0000 2019,b'@FOXSportsDet @RamTrucks #IMWITHJOHNNY#GOTIGERS',"Michigan, USA"
Tue Apr 30 23:59:57 +0000 2019,b'Apple Tops Earnings Expectations as iPhone Sales Fall 17% in March Quarter https://t.co/DSVCl0T7aQ via @variety',"Manhattan, NY"
Tue Apr 30 23:59:57 +0000 2019,b'@FoxSportsRadio @Chris_Broussard Only thing hes lacking is kobes mental toughness...that could still come',"Laguna Hills, CA"
Tue Apr 30 23:59:57 +0000 2019,b'@SpeakerPelosi @SenSchumer @realDonaldTrump Great News',"Grover Beach, CA"
Tue Apr 30 23:59:57 +0000 2019,b'@SisypheanProd I will not bow by Breaking Benjamin!!\xe2\x9d\xa4\xe2\x9d\xa4\xf0\x9f\xa4\x98\xf0\x9f\x98\x9b\xf0\x9f\xa4\x98',"Plano, TX"
Tue Apr 30 23:59:57 +0000 2019,b'I need head and a nap. In that order.',"Chicago, IL"
Tue Apr 30 23:59:57 +0000 2019,b'Forgot to tag and thank DC Jazz Collective (@DCJazzCollect) for helping to make this happen!',Kennedy Center Millennium Stage
Tue Apr 30 23:59:57 +0000 2019,b'McNeil!',"Valley Stream, NY"
Tue Apr 30 23:59:57 +0000 2019,b'Doing God\xe2\x80\x99s work https://t.co/IgEQ2duVeD',"Manhattan, NY"
Tue Apr 30 23:59:57 +0000 2019,"b'\xe2\x80\x9cWhen Johnny goes marching down the wing, O\xe2\x80\x99Shea...\xe2\x80\x9d. This goal and the one against Arsenal at Highbury are some of\xe2\x80\xa6 https://t.co/MTscxJnKui'","Rollinsford, NH"
Tue Apr 30 23:59:57 +0000 2019,b'@ liz jajajajaj https://t.co/ePBrsHa0vk',"Mission, TX"
Tue Apr 30 23:59:56 +0000 2019,b'Dwn2earth',"North Miami, FL"
Tue Apr 30 23:59:56 +0000 2019,b'#USA #Maga\n#Republicans\nMueller Objected to Barr\xe2\x80\x99s Description of Russia Investigation\xe2\x80\x99s Findings https://t.co/qcwDU9FW5m',"Ohio, USA"
Tue Apr 30 23:59:56 +0000 2019,b'Man this dispensary was like all black and sleek and had all hot dudes working????? And was cheap?? I love San Diego man lol',"San Diego, CA"
Tue Apr 30 23:59:56 +0000 2019,b'JAJAJAJJAJJAJA https://t.co/l2ZBfu1apu',"New York, USA"
Tue Apr 30 23:59:56 +0000 2019,b'@quirkyinspired @MomItForward @Stephie_Lark @FSMMedia @GrowUpBilingual @CouponsFreebie @Rick_OntheRocks\xe2\x80\xa6 https://t.co/Qp9iRnK5QV',"Fort Worth, TX"
Tue Apr 30 23:59:56 +0000 2019,b'@ScottGrodsky She was the anthem singer when the #Bucks beat the #Celtics in Milwaukee last year too \xf0\x9f\x91\x80',"Milwaukee, WI"
Tue Apr 30 23:59:56 +0000 2019,"b'I\xe2\x80\x99ll b back sooner than soon, missing u already'","Atlanta, GA"
Tue Apr 30 23:59:56 +0000 2019,b'why isn\xe2\x80\x99t there a chick fil a on the east side \xf0\x9f\x99\x84\xf0\x9f\x99\x84',"Indianapolis, IN"
Tue Apr 30 23:59:56 +0000 2019,b'Catching some @nsaaevents District Playoff Soccer rain or shine; @gretnahsbsoccer hosting Fremont. Looking for thos\xe2\x80\xa6 https://t.co/wpw0XIOZPB',Gretna High School
Tue Apr 30 23:59:56 +0000 2019,b'@manny_arteaga https://t.co/GizpCDEfw6',"Ogden, UT"
Tue Apr 30 23:59:56 +0000 2019,b'@IamTheTrev I said the same thing lol \xf0\x9f\x91\x86\xf0\x9f\x8f\xbe',"Bronx, NY"
Tue Apr 30 23:59:55 +0000 2019,b'Our favorite hidden gem. \xf0\x9f\x8c\xbf #VState https://t.co/HgrRPp7A8I',Valdosta State U - Hopper Hall
Tue Apr 30 23:59:55 +0000 2019,b'@braedenvance was just reminded why it\xe2\x80\x99s so important to wear a cup.  \xf0\x9f\xa4\xa2\n\nAnd all season I used the wrong twitter account for him. Sorry. \xf0\x9f\x98\xaa',"Westerville, OH"
Tue Apr 30 23:59:55 +0000 2019,b'Credit',"Orange, CA"
Tue Apr 30 23:59:55 +0000 2019,b'Mango Habanero \xf0\x9f\xa4\xa7',"Willowbrook, CA"
Tue Apr 30 23:59:55 +0000 2019,b'Miami: 7:51pm: sunset',"Miami, FL"
