Date,Tweet,Country
Wed Jun 19 10:08:54 +0000 2019,b'Max Casella\nhttps://t.co/hD9QxrmVZp',"Warren, OH"
Wed Jun 19 10:08:54 +0000 2019,b'@SandroKimberly Pues solo llamame y yo te lo doy',"Rocky Mount, NC"
Wed Jun 19 10:08:53 +0000 2019,b'idc if my layout don\xe2\x80\x99t fit LITERALKY BOTH OF MY FAVS SRE IN ONE PIC OMG',"Los Angeles, CA"
Wed Jun 19 10:08:53 +0000 2019,"b""@mattbarcomb @schuchert Let's see a team wiggle out of that \xf0\x9f\x98\x89""","Apex, NC"
Wed Jun 19 10:08:52 +0000 2019,"b""Engage young adults with a visit to your manufacturing business - A career in modern manufacturing isn't just about\xe2\x80\xa6 https://t.co/nGzsiyPY6Q""","Burr Ridge, IL"
Wed Jun 19 10:08:52 +0000 2019,b'@MichelleCardel #News on this problem keeps coming. @RenataSago reports on @Marketplace about yet another #recall o\xe2\x80\xa6 https://t.co/NIHb7v7DFr',"Pennsylvania, USA"
Wed Jun 19 10:08:52 +0000 2019,b'good night! \xf0\x9f\x8c\x9c',"Port Angeles, WA"
Wed Jun 19 10:08:52 +0000 2019,b'@seanutbrittle Thots and prayers',"Ross Township, PA"
Wed Jun 19 10:08:52 +0000 2019,"b'i need my car to be fixed, TODAY!'","Florida, USA"
Wed Jun 19 10:08:52 +0000 2019,b'@Dentissb Favorite bands!',"Houston, TX"
Wed Jun 19 10:08:52 +0000 2019,"b""We're about ta come out of captivity, we bout to come out of darkness. And the promised land will be ours foeva...\xe2\x80\xa6 https://t.co/W7zOljYbSR""","Lewis and Clark, MO"
Wed Jun 19 10:08:51 +0000 2019,b'Watermelon lemonade for #FathersDay. Enjoy. #sunday https://t.co/cVEtHUNKK1',"Florida, USA"
Wed Jun 19 10:08:51 +0000 2019,b'@stillnotmixxed \xf0\x9f\xa4\x94',"Union City, GA"
Wed Jun 19 10:08:50 +0000 2019,b'@Santore65994122 @HillaryClinton Except the children of American criminals eventually see their parents again.',"Chesapeake, VA"
Wed Jun 19 10:08:50 +0000 2019,"b'Gas leaks near schools are effecting the health of kids and, according to some, contributing to and worsening the h\xe2\x80\xa6 https://t.co/k3JiJejxTF'","Worcester, MA"
Wed Jun 19 10:08:50 +0000 2019,"b'Been enjoying the new instrumental version of @ChrisRiceMusic ""Untitled Hymn: A Collection of Hymns"" Unique idea an\xe2\x80\xa6 https://t.co/nJbzfmavHz'","Illinois, USA"
Wed Jun 19 10:08:50 +0000 2019,b'\xf0\x9f\xa4\xab',"Oxnard, CA"
