Date,Tweet,Country
Sun Apr 28 23:59:59 +0000 2019,b'@munilot @cat_aikins Wow!!!!',"Cleveland, OH"
Sun Apr 28 23:59:59 +0000 2019,b'Sweet Jesus \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/L8fJ99RHHi',"Daytona Beach, FL"
Sun Apr 28 23:59:59 +0000 2019,b'@swmckewonOWH @OWHbigred Who hoo!',"Clive, IA"
Sun Apr 28 23:59:59 +0000 2019,"b""@GeorgeTakei No.  That's not what primaries are about.  We need a vigorous and thorough vetting.""","Coventry, RI"
Sun Apr 28 23:59:59 +0000 2019,b'I\xe2\x80\x99m smart but dumb',"Utah, USA"
Sun Apr 28 23:59:59 +0000 2019,"b'Unfortunately I feel in the style cycle trends, Heroes in Crisis shares more with 13 Reasons Why and that\xe2\x80\x99s one of the reasons why I left'","Medford, MA"
Sun Apr 28 23:59:59 +0000 2019,"b'@YeBelieveInGod @netflix The Book is always better (lol)  , but I enjoyed it !'","Flower Mound, TX"
Sun Apr 28 23:59:59 +0000 2019,b'Blessings!!!!! https://t.co/TTx8G2CMvV',"Cape Coral, FL"
Sun Apr 28 23:59:59 +0000 2019,"b'Me in the corner, while pierre plays video games and ignores me. https://t.co/MnPmCB67ZP'","Long Beach, CA"
Sun Apr 28 23:59:59 +0000 2019,"b""3 days before the  2016 election @SenSanders said people who thought about voting for @realDonaldTrump weren't raci\xe2\x80\xa6 https://t.co/XIsDhojrgE""","Greensburg, PA"
Sun Apr 28 23:59:59 +0000 2019,b'@RepJeffries well said!',"Queens, NY"
Sun Apr 28 23:59:59 +0000 2019,b'im fudgin borrreeeeD',"Las Vegas, NV"
Sun Apr 28 23:59:59 +0000 2019,b'@AlyDoesItBest Wassup',"Chicago, IL"
Sun Apr 28 23:59:59 +0000 2019,b'@mtlkeith @JettiWhitewolf @Wewillrocku66 @sronga93 @GibsonGothMan @loinclothnation @Red_Hawk_Rising @Edmon188\xe2\x80\xa6 https://t.co/ayy5fxJjOi',"Eugene, OR"
Sun Apr 28 23:59:59 +0000 2019,b'WHY WOULD SHE DO THAT https://t.co/9xTmJ86jYI',"Plantation, FL"
Sun Apr 28 23:59:58 +0000 2019,b'Congratulations to @PatrickCreadon for creating such an awesome #HesburghMovie and a great Chicago event\xe2\x80\xa6 https://t.co/kXLSEascFT',"Chicago, IL"
Sun Apr 28 23:59:58 +0000 2019,b'@lawrencelane56 Ender',"Bellview, FL"
Sun Apr 28 23:59:58 +0000 2019,"b""@phillip_burwell Can I give you a hug tommorow and  I don't see you last week at all last week .\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99hard work really pays off .""","Raleigh, NC"
Sun Apr 28 23:59:58 +0000 2019,b'@iamirishdave @Twitter @facebook @instagram My thought is. What is worth your time investment: growth &amp; engagement\xe2\x80\xa6 https://t.co/kbicT4E5b3',"Bowling Green, KY"
Sun Apr 28 23:59:58 +0000 2019,b'This is America!   Fair going on in the mall parking lot... USA made Titan front and center...  KC will rock this p\xe2\x80\xa6 https://t.co/FUDKtSbUQY',"Chattanooga, TN"
Sun Apr 28 23:59:58 +0000 2019,b'@alonballon https://t.co/cFLnkXnUrI',"State College, PA"
Sun Apr 28 23:59:58 +0000 2019,b'Kyle Smith for GM #Redskins',"Alabama, USA"
Sun Apr 28 23:59:58 +0000 2019,b'You will be missed next year @swartz78 https://t.co/njC6VC5okV',"Carmel, IN"
Sun Apr 28 23:59:58 +0000 2019,b'@acolguin @Padres @Dodgers @PetcoPark YES',"Studio City, Los Angeles"
Sun Apr 28 23:59:58 +0000 2019,b'Our strength and conditioning program is one of the best in the Nation. I\xe2\x80\x99m a testimony. #buffnation #ebiGod https://t.co/haRzOEAkmx',"Canyon, TX"
Sun Apr 28 23:59:58 +0000 2019,b'Need to find some dread head friends',"Lowell, MA"
Sun Apr 28 23:59:58 +0000 2019,b'@QTAnon1 Neither',"Virginia, USA"
Sun Apr 28 23:59:57 +0000 2019,b'Hiking Hanging Rock! https://t.co/TW0zRCoHoI',"Danville, VA"
Sun Apr 28 23:59:57 +0000 2019,b'@madi_kaylyn OMG',"Temple, TX"
Sun Apr 28 23:59:57 +0000 2019,"b'Because when you stop and  look around, this life is pretty amazing \xf0\x9f\x98\x89\xf0\x9f\x98\x8d\xf0\x9f\x8c\xb1\xf0\x9f\x8c\xb2\xf0\x9f\x90\x9e\xf0\x9f\x8c\xbb\n#happymonday !\n..\n..\n..\n#nature\xe2\x80\xa6 https://t.co/zmv5ZafhnA'","Sacramento, CA"
Sun Apr 28 23:59:57 +0000 2019,b'Yes I am rewatching last week\xe2\x80\x99s brilliant episode to warm up',"Highland Park, TX"
Sun Apr 28 23:59:57 +0000 2019,b'@GovernorKayIvey #LocktheClock \nhttps://t.co/sWnuPRBBrt',"Alabama, USA"
Sun Apr 28 23:59:57 +0000 2019,b'birthday at the beach \xe2\x98\xbc https://t.co/8IfPmYUOND',Montara State Beach
Sun Apr 28 23:59:57 +0000 2019,b'*Being murdered lol im drinking wine https://t.co/u0ctpxqGbv',"Beltsville, MD"
Sun Apr 28 23:59:57 +0000 2019,b'\xf0\x9f\x92\xa7 https://t.co/6FpHgchn49',"Bemidji, MN"
Sun Apr 28 23:59:57 +0000 2019,b'\xe2\x9c\x8f\xef\xb8\x8f It\xe2\x80\x99s a Teacher Survival Giveaway! I\xe2\x80\x99ve teamed up with some amazing teacher friends to bring one lucky winner all\xe2\x80\xa6 https://t.co/doORNgJHIK',"Denver, CO"
Sun Apr 28 23:59:57 +0000 2019,b'Gym sesh. #bodybuilding #ABS #bodypositivity #cleaneating #detox #beast https://t.co/kfxsuiYLQN',Anytime Fitness
Sun Apr 28 23:59:57 +0000 2019,b'@craigengler Love the Crate.',"New Jersey, USA"
Sun Apr 28 23:59:57 +0000 2019,b'Lol my guy complaining about no calls? Wtf bro. https://t.co/e64fRWlIjv',"Minneapolis, MN"
Sun Apr 28 23:59:56 +0000 2019,b'Feel like shit. Look like shit. I love being sick.',"Los Angeles, CA"
Sun Apr 28 23:59:56 +0000 2019,"b""@remi_massignan je t'ai attendu pour une sortie Trail sur les sentiers de Newport Beach mais tu n'es jamais venu \xf0\x9f\x98\xb2\xe2\x80\xa6 https://t.co/Dl6T9Qgxhc""","Topanga, CA"
Sun Apr 28 23:59:56 +0000 2019,b'@braydensonpoint QUINTON. They\xe2\x80\x99re good for you! Enjoy them. I didn\xe2\x80\x99t link my throwback alt one but if you just go t\xe2\x80\xa6 https://t.co/FhXYTW7cB2',"Paradise, NV"
Sun Apr 28 23:59:56 +0000 2019,b'Hooters sounds good right about now',"Louisiana, USA"
Sun Apr 28 23:59:56 +0000 2019,b'@_sammantharaee Lmao I just did the same bitch \xf0\x9f\x98\x82 last night was fun though \xf0\x9f\x91\xaf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x98\x88',"El Paso, TX"
Sun Apr 28 23:59:56 +0000 2019,b'Why does no one up north sell @evianwater this is bs! idk why I didn\xe2\x80\x99t buy it in Kentucky before I left lol! I\xe2\x80\x99ve s\xe2\x80\xa6 https://t.co/y6x8WBSBQ2',Exxon
Sun Apr 28 23:59:56 +0000 2019,"b'\xd0\x92\xd0\xbf\xd0\xb5\xd1\x80\xd0\xb2\xd1\x8b\xd0\xb5 \xd0\xb7\xd0\xb0 \xd1\x81\xd1\x83\xd1\x82\xd0\xba\xd0\xb8 \xd0\xb2 \xd0\xa1\xd0\xa8\xd0\x90 \xd1\x83\xd1\x81\xd0\xbb\xd1\x8b\xd1\x88\xd0\xb0\xd0\xbb cheers \xd0\xb2\xd0\xbc\xd0\xb5\xd1\x81\xd1\x82\xd0\xbe thanks, \xd0\xb7\xd0\xb0\xd0\xba\xd0\xb0\xd0\xb7\xd0\xb0\xd0\xb2 \xd1\x87\xd0\xb0\xd0\xb9 \xd1\x81 \xd0\xbc\xd0\xbe\xd0\xbb\xd0\xbe\xd0\xba\xd0\xbe\xd0\xbc.\nGod save the queen'","San Francisco, CA"
Sun Apr 28 23:59:56 +0000 2019,b'Family full of real ones you can\xe2\x80\x99t tell me no different\xf0\x9f\xa4\x97',"Bogalusa, LA"
Sun Apr 28 23:59:56 +0000 2019,b'@GallantSays At least someone here has a brain and can spit some truth',"Houston, TX"
Sun Apr 28 23:59:56 +0000 2019,b'Idk who he is but I love him already https://t.co/bgR6KJHtwW',"San Jose, CA"
Sun Apr 28 23:59:56 +0000 2019,"b'Brandon Kintzler retires the Diamondbacks 1-2-3 in the bottom of the 11th  Zobrist, Bryant &amp; Rizzo due up in the 12th'","Indiana, USA"
