w1,w2,w3,Accurate,
-0.106413935,-0.032188769,-0.192457755,0.5,0.64
0.113659082,0.696844637,0.288230322,0.546875,
0.801434372,-0.131595562,0.62009068,0.44,
0.502512449,0.293730304,0.141664686,0.5,
0.318843503,0.664963721,-0.295209502,0.5,
0.239425476,0.197664568,0.255192898,0.4,
0.624174141,0.50240747,0.546833591,0.5,
-0.008031668,0.666991379,0.395592786,0.5,
0.356551978,-0.155605479,0.565458632,0.4,
0.519259484,0.463640476,0.112842047,0.52,
0.413563149,0.593478468,0.020364562,0.52,
0.436290255,0.154661718,0.250056156,0.42,
0.420412708,0.465020578,0.492879644,0.5,
0.350588216,-0.083739777,-0.113902377,0.4,
0.321218018,-0.31607136,0.044796142,0.4,
0.438570835,0.336117189,0.547899552,0.5,
0.768232911,0.534311529,0.131269665,0.5,
0.084639573,0.019935143,0.553178222,0.38,
0.719602766,-0.006450513,-0.258374643,0.42,
-0.039475912,-0.532070713,-0.722110912,0.52,
0.36551594,0.621699021,0.561865623,0.5,
-0.245584199,-0.395191468,0.585345027,0.42,
0.412025028,0.407023215,-0.121153175,0.44,
0.123978241,-0.615421391,-0.432504735,0.46,
0.467519606,0.475869138,0.300911347,0.5,
0.621202664,0.021189362,0.015125172,0.42,
0.748811933,0.525833869,0.500919271,0.5,
0.696372472,0.2706177,0.576991546,0.5,
0.081545099,-0.529281917,-0.109396841,0.44,
-0.46964495,-0.758201312,-1.042528866,0.54,
0.547389591,0.550526246,0.323539107,0.5,
0.488522804,0.129126442,0.42182342,0.44,
0.615824177,0.084112762,0.364025349,0.46,
0.608790282,0.384544503,0.562287538,0.5,
0.421947222,0.58660404,0.496717728,0.5,
0.092357459,0.65220604,0.471260441,0.5,
0.281866994,0.230427371,-0.036178424,0.4,
0.336643612,0.454098856,0.394966873,0.5,
-0.073903809,0.145245293,0.36374307,0.42,
-0.122080256,-0.54007154,0.477784228,0.4,
0.125554565,-0.298093848,0.127165171,0.4,
0.41207829,-0.822484175,-0.876685877,0.5,
0.313795149,0.412813467,0.39145889,0.5,
-0.600873818,-1.247715198,-1.7139164,0.6,
-0.141171698,-0.608018953,-0.702742614,0.5,
0.071603934,0.481836885,0.524079119,0.48,
0.400315973,0.063994546,0.357555974,0.42,
0.015907393,0.619130036,0.391794318,0.48,
0.565147751,-0.435227099,0.166513691,0.42,
0.701492157,0.298613151,-0.240987984,0.48,
0.540184373,-0.925293702,-1.252159702,0.5,
0.244450317,-0.133394479,0.48444336,0.42,
-0.068746193,-0.795877313,-0.642724378,0.52,
0.042935812,0.589959401,0.097499925,0.5,
0.335670897,-0.311182032,0.495115396,0.44,
0.190375472,0.585635353,0.531953463,0.5,
0.283545233,0.255467135,0.34662856,0.38,
0.421264907,0.254027899,0.575049195,0.5,
0.186981425,-0.160977118,-0.208892795,0.4,
0.120506689,0.005116525,0.301109886,0.4,
0.816394577,-0.122941473,0.219258968,0.44,
0.169081116,0.330999913,0.250415808,0.4,
-0.091872643,0.266853664,0.18525759,0.4,
0.558129561,0.156810749,0.084159953,0.46,
0.703000279,0.281102693,-0.034917624,0.5,
