Date,Tweet,Country
Tue Apr 23 10:42:07 +0000 2019,b'@gaslightingus2 Hahahahaha',"Napa, CA"
Tue Apr 23 10:42:07 +0000 2019,"b""Help support our Women's Golf Program!  Any amount is appreciated and will go directly towards helping our team!! P\xe2\x80\xa6 https://t.co/6FpOTYhPZE""","New York, USA"
Tue Apr 23 10:42:07 +0000 2019,b'Say it louder for the bitches in the back https://t.co/Z0h4xrkpl9',"Virginia, USA"
Tue Apr 23 10:42:06 +0000 2019,b'@aquart28 @ehtelescope @MIT So cool!',"Salisbury, MD"
Tue Apr 23 10:42:06 +0000 2019,"b""I just finished day 23 of the @YouVersion plan 'Reading The Bible In Historical Sequence Part 4'. Check it out here:\nhttps://t.co/OJnPHAT0De""","Wyoming, USA"
Tue Apr 23 10:42:06 +0000 2019,b'@realDonaldTrump Never',"Chicago, IL"
Tue Apr 23 10:42:05 +0000 2019,b'@AntanasMockus @DeLaCalleHum https://t.co/9i2f7gQeKd',"Harrisonburg, VA"
Tue Apr 23 10:42:05 +0000 2019,b'No you chill',"Enterprise, NV"
Tue Apr 23 10:42:05 +0000 2019,b'Good morning good people.',"Chicago, IL"
Tue Apr 23 10:42:04 +0000 2019,"b'A mi querido amiguito @MisiValencia a quien he querido y con quien me he divertido a pesar de la distancia. Descansa en paz, tocayito. \xf0\x9f\x98\xbf\xf0\x9f\x92\x95'","Vega Baja, Puerto Rico"
Tue Apr 23 10:42:04 +0000 2019,"b'@KaceyMusgraves It would have to be my Grandfather, he wasn\xe2\x80\x99t the biggest conversationist, but  I try to pattern my life after him.'","Oklahoma, USA"
Tue Apr 23 10:42:03 +0000 2019,b'@AngelGotti5 Oh geeze.. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc',"North Providence, RI"
Tue Apr 23 10:42:03 +0000 2019,"b'When I arrived in the Valley, I was still in the post-cure drag.'","St Louis, MO"
Tue Apr 23 10:42:03 +0000 2019,"b'Good morning Bengal Scholars. It\xe2\x80\x99s a Terrific Tuesday and an Orange Day, periods 1 through 4. FSA Reading Reviews a\xe2\x80\xa6 https://t.co/629gp5nxH6'","Fort Lauderdale, FL"
Tue Apr 23 10:42:03 +0000 2019,b'I\xe2\x80\x99m giving up ping pong https://t.co/aUH0q5KMuj',"Greenwich, CT"
Tue Apr 23 10:42:03 +0000 2019,"b'The @clevemetroparks has fun, educational, and free activities at their Rocky River nature center. It was fun to ex\xe2\x80\xa6 https://t.co/Fdz31FtIGU'","North Olmsted, OH"
Tue Apr 23 10:42:03 +0000 2019,"b'The 46th Annual Daytime Emmy Award Nominees \xe2\x80\x93 The Emmys\nhttps://t.co/nNqhY0qRW0\nMar 20, 2019 - The Daytime Creative\xe2\x80\xa6 https://t.co/8a52AfJDi0'","California, USA"
Tue Apr 23 10:42:02 +0000 2019,b'My new car gone be so cute \xe2\x98\xba\xef\xb8\x8f',"Beech Grove, IN"
Tue Apr 23 10:42:02 +0000 2019,"b'USGS reports a M1.33 #earthquake 10km NE of Aguanga, CA on 4/23/19 @ 10:39:05 UTC https://t.co/w2rgncRFJh #quake'","California, USA"
Tue Apr 23 10:42:02 +0000 2019,b'Last person I fucked w/ showed me loyalty is dead I went through shawty phone and wasn\xe2\x80\x99t myself for a while \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad couldn\xe2\x80\x99t even talk',"Pawtucket, RI"
Tue Apr 23 10:42:02 +0000 2019,b'I gotta be the dopest producer in 910',"North Carolina, USA"
Tue Apr 23 10:42:02 +0000 2019,b'#imsoold my #asshole is #haunted  #BOO -ty #joke #lmaomemes #lmao\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #darkhumourisbesthumour #darkhumormemes #lgbt\xe2\x80\xa6 https://t.co/HB0PDuTrSI',"Burbank, CA"
Tue Apr 23 10:42:02 +0000 2019,b'@HarkenPatty I forgot about the cheese things! A Mort\xe2\x80\x99s special.',"Cleveland, OH"
Tue Apr 23 10:42:02 +0000 2019,"b'At 2310, @AtwellFire reported a small fire in the basement of a dwelling at 825 Shinn Farm Rd, Mooresville. First d\xe2\x80\xa6 https://t.co/fNkSGgC9LG'","Concord, NC"
Tue Apr 23 10:42:02 +0000 2019,b'@im_mvnte Right but the end is really a beginning making room for a spin off you see they changed Selina they could be up to something',"Cleveland, OH"
Tue Apr 23 10:42:01 +0000 2019,b'The only thing New Jersey is good for: looking at from far away https://t.co/RqKrRnLYpT',Hudson River Park
Tue Apr 23 10:42:01 +0000 2019,b'God is in Control and He Loves you! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd',"Augusta, GA"
Tue Apr 23 10:42:01 +0000 2019,"b'@Vinuash @GHardstark ...""species""?'","Marshalltown, IA"
Tue Apr 23 10:42:01 +0000 2019,b'This!!! Stop actin clueless https://t.co/75F1urtnNU',"Memphis, TN"
Tue Apr 23 10:43:10 +0000 2019,"b""@Xadeejournalist Farq?  Khan's statement must be condemned.  Talking 2 country's newsmen vs talking 2 the Internati\xe2\x80\xa6 https://t.co/DHLTKeRWV9""","San Jose, CA"
Tue Apr 23 10:43:10 +0000 2019,b'@dej_nicole Call her Daddy is seriously the best!',"South Carolina, USA"
Tue Apr 23 10:43:09 +0000 2019,"b'@marybethfrench9 @scottflinders @WhiteHouse @realDonaldTrump @FLOTUS The President\xe2\x80\x99s schedule is public knowledge,\xe2\x80\xa6 https://t.co/myDgPxvJsC'","Connecticut, USA"
Tue Apr 23 10:43:09 +0000 2019,b'13754 Wyandotte Street https://t.co/bMIRPn9XQd',"Los Angeles, CA"
Tue Apr 23 10:43:08 +0000 2019,b'@Outdoorgirl724 @cjprofman My children went to the same private college. The president of the college receives an i\xe2\x80\xa6 https://t.co/1gRFclC215',"Ocoee, FL"
Tue Apr 23 10:43:08 +0000 2019,b'@JStein_WaPo The proletariat like Bernie more than the bourgeoise. Shocker...',"Georgia, USA"
Tue Apr 23 10:43:08 +0000 2019,b'A beautiful spring sunrise over #NittanyValley this morning. https://t.co/0ecAE8GboB',"Zion, PA"
Tue Apr 23 10:43:08 +0000 2019,b'Damn I wish Joey was up at 6am',"Raleigh, NC"
Tue Apr 23 10:43:08 +0000 2019,b'@DominqueDejon @rolandsmartin @RepCummings @realDonaldTrump Can you also share with me the winning Powerball numbers this week also\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbe',"Fredericksburg, VA"
Tue Apr 23 10:43:08 +0000 2019,"b'@russellhoward @SimonTalbot_ With you there, how can they not be?'","Rio Linda, CA"
Tue Apr 23 10:43:07 +0000 2019,b'@jeremyneely Fo\xe2\x80\x99 real.',"Missouri, USA"
Tue Apr 23 10:43:07 +0000 2019,b'You was really a lame \xf0\x9f\x98\x85',"Louisiana, USA"
Tue Apr 23 10:43:07 +0000 2019,"b""@EmmaKennedy You're just angry because the guy the US put into power in Ukraine didn't win.""","Wisconsin, USA"
Tue Apr 23 10:43:06 +0000 2019,b'@CaveNovel Practical tips to be a positive influence on the world around us. https://t.co/LQkggaUmrQ',"Amherst, NY"
Tue Apr 23 10:43:06 +0000 2019,b'@realDonaldTrump I feel sorry for Green Bay!',"Spokane, WA"
Tue Apr 23 10:43:06 +0000 2019,b'#Tunisie @frihane C\xe2\x80\x99est le meilleur niveau o\xc3\xb9 contribuer https://t.co/PjtYIiV8Ry',"Gaithersburg, MD"
Tue Apr 23 10:43:06 +0000 2019,"b""@GotNoSperm Let's see how many times he gets to 3-2 counts like Judge""","Somerdale, NJ"
Tue Apr 23 10:43:06 +0000 2019,"b""Think it's time to start using hashtags in my bio.""","Chicago, IL"
Tue Apr 23 10:43:05 +0000 2019,b'@iamjenbt @1043JAMS Te hice re\xc3\xadr te escuch\xc3\xa9 \xf0\x9f\x98\x86',"Oak Park, IL"
Tue Apr 23 10:43:05 +0000 2019,b'@DrewEngelbart good morning Drew happy Tuesday!',"Greeley, CO"
Tue Apr 23 10:43:05 +0000 2019,b'Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/A3IckRZdzb',"New Jersey, USA"
Tue Apr 23 10:43:05 +0000 2019,b'@chrissyteigen @chrissyteigen #FemaleProbs #PropUpThe#Girls #YouveGotThis',"North Carolina, USA"
Tue Apr 23 10:43:05 +0000 2019,b'Losing you was my biggest win \xf0\x9f\x92\xaf',"Chesapeake, VA"
Tue Apr 23 10:43:05 +0000 2019,b'@russellcfuller Why wait until the end of the year? Surely there are circumstances such as this where immediate removal is possible.',"Brooklyn, NY"
Tue Apr 23 10:43:04 +0000 2019,b'@TODAYshow @NBCNews https://t.co/3L72Y6gzgm',"Elizabeth, NJ"
Tue Apr 23 10:43:04 +0000 2019,"b'@AC360 My question is, you all went to College and got your degrees. Automatically you are most likely to receive a\xe2\x80\xa6 https://t.co/thp5GJAQST'","Broadview Heights, OH"
Tue Apr 23 10:43:03 +0000 2019,b'@TimeTravler5 Hello',"Bridgeport, WV"
Tue Apr 23 10:43:03 +0000 2019,b'@realDonaldTrump Lier',"Chicago, IL"
Tue Apr 23 10:43:03 +0000 2019,"b'$5.85 Donut, Breakfast Sandwich &amp; Coffee Deal today! (Coffee/ Tea- Iced or Hot, or Bottled Water) Sandwich w/ or w/\xe2\x80\xa6 https://t.co/hKx4V85MNl'","Amherst, NY"
Tue Apr 23 10:43:03 +0000 2019,b'@joelcifer Dont delete it. You arnt wrong',"Michigan, USA"
Tue Apr 23 10:43:03 +0000 2019,"b'When you reach to the end of your rope, tie a knot. https://t.co/cK6IdmqF3L'","Ives Estates, FL"
Tue Apr 23 10:43:03 +0000 2019,b'@oREGINAl49ers Khagossi or whatever',"Anchorage, AK"
Tue Apr 23 10:43:03 +0000 2019,b'@seanwhite6996 Okay brb',"West Warwick, RI"
Tue Apr 23 10:43:02 +0000 2019,b'@ringoffireradio @farronbalanced Marketing 101 bad publicity is still keeping his name in the public \xf0\x9f\x91\x80',"Walsenburg, CO"
Tue Apr 23 10:43:02 +0000 2019,"b""I'm not perfect""","St Leo, FL"
Tue Apr 23 10:43:01 +0000 2019,b'@ally___poppins @burn1_music @arimari____ You never have to crash when you\xe2\x80\x99ll always be invited \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0',"Pembroke Pines, FL"
Tue Apr 23 10:43:01 +0000 2019,b'True https://t.co/kU8ooDvbcD',"Amherst, NY"
Tue Apr 23 10:43:01 +0000 2019,"b""@tomsegura We're in the end game now""","Alabama, USA"
Tue Apr 23 10:43:00 +0000 2019,b'Lianne La Havas anything makes me CRY \xf0\x9f\x98\xad https://t.co/8w2iuGPSJ1',"St Paul, MN"
Tue Apr 23 10:43:00 +0000 2019,b'Bro I haven\xe2\x80\x99t played tag since I was a kid. Can we organize an adult game of tag?',"Alafaya, FL"
Tue Apr 23 10:43:00 +0000 2019,b'https://t.co/slcqZR7mlg',"San Francisco, CA"
Tue Apr 23 10:43:00 +0000 2019,b'@Fatimahhhhhhhh_ big facts',"Philadelphia, PA"
Tue Apr 23 10:42:59 +0000 2019,b'Do you remember when you joined Twitter? I do! #MyTwitterAnniversary ..... I feel old \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/CjK2rCBNjZ',"Chicago Ridge, IL"
Tue Apr 23 10:42:59 +0000 2019,"b'Good morning! Have a great day! @ Ankeny, Iowa https://t.co/K3hXJlFCC8'","Ankeny, IA"
Tue Apr 23 10:42:59 +0000 2019,b'Accident in #NortheastDade on Ives Dairy Rd EB at I-95 #SFLtraffic https://t.co/US2j7IOBPL',"Ojus, FL"
Tue Apr 23 10:42:58 +0000 2019,b'Good morning',"Philadelphia, PA"
Tue Apr 23 10:42:58 +0000 2019,"b'@skinneeDee Good morning, boo \xf0\x9f\x98\x98\xf0\x9f\x98\x98'","Pittsburgh, PA"
Tue Apr 23 10:42:58 +0000 2019,"b""Closed due to accident in #CinnaminsonTwp on US-130 NB between Riverton Rd and Taylor's Ln, stopped traffic back to Riverton Rd #traffic""","Cinnaminson, NJ"
Tue Apr 23 10:42:58 +0000 2019,b'@realDonaldTrump Another incompetent Trump cronie. #IllegitimatePresident',"Indiana, USA"
Tue Apr 23 10:42:58 +0000 2019,"b'Welcome to Liberty, Indiana.  \nGet your male enhancement pills.  \nThank you.  \nCome again. https://t.co/PwP7wll4Ny'","Liberty, IN"
Tue Apr 23 10:42:58 +0000 2019,b'Live yo boring ass life over there in that square. We get money we don\xe2\x80\x99t care',"Hartford, CT"
Tue Apr 23 10:42:58 +0000 2019,b'I see this everyday and be like you a good one \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/7Wxb0HKe3a',"Memphis, TN"
Tue Apr 23 10:42:57 +0000 2019,b'@davephillips418 Yep... and it may just be survival \xf0\x9f\x94\xa5',"Columbus, OH"
Tue Apr 23 10:42:57 +0000 2019,"b'Bro literally had a song about Murder and now they want his body. \xf0\x9f\xa4\x94\n\n""YNW Melly could face death penalty for double\xe2\x80\xa6 https://t.co/LorsYGCCkN'","St Cloud, MN"
